SBD,Trường,Ngành,Tổ hợp,Năm,Điểm học sinh,Điểm chuẩn trung bình,Điểm chuẩn dự kiến,Chỉ tiêu,q0,Market trend,Xu hướng điểm chuẩn,Xác suất trúng tuyển
11417,HSU,quan hệ công chúng,D01,2025,19.75,17.0,17.22,158.5,136.37,0.77,-0.0,0.9262
6043,SGD,sư phạm ngữ văn,C00,2025,24.25,28.11,28.36,139.2,139.2,0.5,0.0,0.0161
15788,SPK,công nghệ vật liệu,D01,2025,18.9,15.4,15.93,96.5,118.52,0.68,0.0,0.9512
1,QSC,an toàn thông tin,D01,2025,21.8,24.28,23.78,130.5,145.58,0.87,-1.49,0.1213
61469,YDS,điều dưỡng,B00,2025,21.4,23.02,23.4,92.5,153.48,0.82,-0.61,0.1192
994,TYS,điều dưỡng,B00,2025,23.7,23.57,23.82,153.48,153.48,0.5,0.0,0.47
3270,KTA,công nghệ thông tin,D01,2025,23.45,23.8,24.05,132.31,132.31,0.5,-0.0,0.3543
516,KSA,quản trị dịch vụ du lịch và lữ hành,C00,2025,15.0,15.0,15.25,129.42,129.42,0.5,0.0,0.4378
2406,YDS,điều dưỡng,B00,2025,25.15,23.02,23.4,92.5,153.48,0.82,-0.61,0.852
9248,NLS,quản lý tài nguyên và môi trường,C00,2025,17.75,15.0,15.25,141.5,129.8,0.68,0.0,0.9241
19019,VLU,luật,C00,2025,14.25,15.0,15.38,135.5,137.77,0.73,-0.0,0.2442
9876,TYS,điều dưỡng,B00,2025,21.4,23.57,23.82,153.48,153.48,0.5,0.0,0.0817
14951,LPS,luật kinh tế,C00,2025,18.25,21.0,21.25,141.53,141.53,0.5,0.0,0.0474
22938,QSX,nhân học,C00,2025,24.25,27.1,27.62,105.5,128.33,0.68,0.0,0.0332
7432,DCQ,luật kinh tế,C00,2025,19.25,16.0,16.25,141.53,141.53,0.5,0.0,0.9526
5985,NTT,ngôn ngữ trung quốc,C00,2025,13.75,15.0,14.75,202.5,126.53,0.71,-0.0,0.2689
3338,MBS,xã hội học,C00,2025,21.0,18.0,18.25,132.95,132.95,0.5,-0.0,0.9399
4748,SPS,giáo dục tiểu học,C00,2025,12.0,27.5,28.12,100.0,138.98,0.68,0.0,0.0
9082,SGD,sư phạm ngữ văn,C00,2025,10.25,28.11,28.36,139.2,139.2,0.5,0.0,0.0
2470,HIU,ngôn ngữ trung quốc,C00,2025,15.5,15.0,15.25,126.53,126.53,0.5,-0.0,0.5622
11042,KSA,quản trị dịch vụ du lịch và lữ hành,C00,2025,16.5,15.0,15.25,129.42,129.42,0.5,0.0,0.7773
8757,LPS,luật kinh tế,C00,2025,22.25,21.0,21.25,141.53,141.53,0.5,0.0,0.7311
7291,NLS,quản lý tài nguyên và môi trường,C00,2025,13.5,15.0,15.25,141.5,129.8,0.68,0.0,0.148
38555,GTS,kỹ thuật xây dựng,D01,2025,20.15,18.0,17.83,130.67,130.67,0.5,-0.6,0.9105
11731,IUH,luật kinh tế,C00,2025,21.0,23.5,23.75,141.53,141.53,0.5,-0.0,0.0601
43468,MBS,xã hội học,C00,2025,21.0,18.0,18.25,132.95,132.95,0.5,-0.0,0.9399
8001,DCQ,luật kinh tế,C00,2025,19.25,16.0,16.25,141.53,141.53,0.5,0.0,0.9526
16853,HVU,thú y,B00,2025,15.65,18.0,18.32,155.5,152.43,0.68,0.0,0.0648
18177,SPK,công nghệ vật liệu,A00,2025,17.6,15.4,15.93,96.5,118.52,0.68,0.0,0.8416
62225,SPS,tâm lý học,C00,2025,25.25,26.45,26.38,151.5,133.53,0.68,-0.39,0.2442
26011,QST,công nghệ vật liệu,A00,2025,25.1,24.0,24.25,118.52,118.52,0.5,-0.0,0.7006
12607,QSB,trí tuệ nhân tạo,A00,2025,21.25,17.2,17.45,169.88,169.88,0.5,0.0,0.9781
50203,UFM,tài chính - ngân hàng,D01,2025,25.0,22.5,22.69,163.5,135.02,0.8,0.0,0.9097
11816,VLU,quan hệ công chúng,C00,2025,21.5,19.0,19.57,110.5,136.37,0.77,0.0,0.8732
17564,LPS,luật kinh tế,C00,2025,21.25,21.0,21.25,141.53,141.53,0.5,0.0,0.5
20116,IUH,luật kinh tế,C00,2025,21.5,23.5,23.75,141.53,141.53,0.5,-0.0,0.0953
8576,NTT,ngôn ngữ trung quốc,C00,2025,12.0,15.0,14.75,202.5,126.53,0.71,-0.0,0.0601
6381,LPS,luật kinh tế,C00,2025,23.25,21.0,21.25,141.53,141.53,0.5,0.0,0.8808
5219,QSC,an toàn thông tin,D01,2025,24.55,24.28,23.78,130.5,145.58,0.87,-1.49,0.6835
1357,HIU,ngôn ngữ trung quốc,C00,2025,14.25,15.0,15.25,126.53,126.53,0.5,-0.0,0.2689
3300,HSU,nghệ thuật,D01,2025,17.5,15.0,15.16,161.5,137.08,0.68,0.0,0.9121
5373,HVU,thú y,B00,2025,20.9,18.0,18.32,155.5,152.43,0.68,0.0,0.9296
2658,IUH,luật kinh tế,C00,2025,23.0,23.5,23.75,141.53,141.53,0.5,-0.0,0.3208
3094,SPK,công nghệ vật liệu,A00,2025,14.8,15.4,15.93,96.5,118.52,0.68,0.0,0.2442
6196,KTA,công nghệ thông tin,D01,2025,17.2,23.8,24.05,132.31,132.31,0.5,-0.0,0.0011
23361,QST,công nghệ vật liệu,A01,2025,25.4,24.0,24.25,118.52,118.52,0.5,-0.0,0.7595
4055,KSA,quản trị dịch vụ du lịch và lữ hành,C00,2025,15.0,15.0,15.25,129.42,129.42,0.5,0.0,0.4378
8602,GTS,kỹ thuật xây dựng,D01,2025,20.75,18.0,17.83,130.67,130.67,0.5,-0.6,0.9488
53932,MBS,xã hội học,C00,2025,21.25,18.0,18.25,132.95,132.95,0.5,-0.0,0.9526
66146,UFM,tài chính - ngân hàng,D01,2025,25.5,22.5,22.69,163.5,135.02,0.8,0.0,0.9432
5834,NLS,quản lý tài nguyên và môi trường,C00,2025,16.0,15.0,15.25,141.5,129.8,0.68,0.0,0.6792
29324,QSX,quản lý giáo dục,C00,2025,22.0,26.9,27.15,153.02,153.02,0.5,-0.0,0.0058
4269,VLU,quan hệ công chúng,C00,2025,20.5,19.0,19.57,110.5,136.37,0.77,0.0,0.7171
11248,LPS,luật kinh tế,C00,2025,23.0,21.0,21.25,141.53,141.53,0.5,0.0,0.852
69966,SGD,sư phạm ngữ văn,C00,2025,20.25,28.11,28.36,139.2,139.2,0.5,0.0,0.0003
1439,QSB,khoa học máy tính,D01,2025,23.1,21.0,21.25,122.69,122.69,0.5,0.0,0.8641
29898,HVU,thú y,A00,2025,19.1,18.0,18.32,155.5,152.43,0.68,0.0,0.6857
4281,QSC,an toàn thông tin,D01,2025,22.25,24.28,23.78,130.5,145.58,0.87,-1.49,0.178
22942,KTA,công nghệ thông tin,D01,2025,20.8,23.8,24.05,132.31,132.31,0.5,-0.0,0.0373
7840,YDS,dược học,A01,2025,25.9,24.0,24.82,86.5,139.02,0.89,0.0,0.7465
7601,KSA,logistics và quản lý chuỗi cung ứng,C00,2025,21.5,19.0,19.25,119.38,119.38,0.5,0.0,0.9047
13573,QST,quản lý tài nguyên và môi trường,A00,2025,22.0,21.5,22.07,100.0,129.8,0.68,0.0,0.4825
23610,SPK,công nghệ vật liệu,A00,2025,14.45,15.4,15.93,96.5,118.52,0.68,0.0,0.1854
16858,YDS,điều dưỡng,A00,2025,23.05,23.02,23.4,92.5,153.48,0.82,-0.61,0.4134
13422,HSU,nghệ thuật,D01,2025,20.35,15.0,15.16,161.5,137.08,0.68,0.0,0.9945
1061,SPS,tâm lý học,C00,2025,20.5,26.45,26.38,151.5,133.53,0.68,-0.39,0.0028
25898,QSB,trí tuệ nhân tạo,A00,2025,17.9,17.2,17.45,169.88,169.88,0.5,0.0,0.6106
11850,TYS,y khoa,B00,2025,10.5,26.57,26.82,147.72,147.72,0.5,-0.0,0.0
