Ngành,Mức điểm đầu vào,Trường đại học,Điểm chuẩn,Tổ hợp,Năm,Ghi chú,Mã trường
sư phạm ngữ văn,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,27.2,C00,2022,Phân hiệu Long An,SPS
sư phạm ngữ văn,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,27.2,D01,2022,Phân hiệu Long An,SPS
sư phạm tiếng anh,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,27.01,D01,2022,,SPS
sư phạm tiếng anh,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,25.47,D01,2022,Phân hiệu Long An,SPS
ngôn ngữ anh,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,25.86,D01,2022,,SPS
ngôn ngữ pháp,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,22.7,D01,2022,,SPS
ngôn ngữ trung quốc,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,25.05,D01,2022,,SPS
ngôn ngữ nhật,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,23.77,D01,2022,,SPS
ngôn ngữ hàn quốc,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,25.02,D01,2022,,SPS
tâm lý học,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,27.1,B00,2022,,SPS
tâm lý học,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,27.1,C00,2022,,SPS
tâm lý học,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,27.1,D01,2022,,SPS
vật lý học,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,24.44,A00,2022,,SPS
vật lý học,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,24.44,A01,2022,,SPS
công nghệ thông tin,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,23.05,A00,2022,,SPS
công nghệ thông tin,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,23.05,A01,2022,,SPS
quản lý giáo dục,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,25.22,D01,2021,,SPS
quản lý giáo dục,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,25.22,A00,2021,,SPS
quản lý giáo dục,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,25.22,A01,2021,,SPS
giáo dục tiểu học,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,26.13,A00,2021,,SPS
giáo dục tiểu học,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,26.13,A01,2021,,SPS
giáo dục tiểu học,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,26.13,D01,2021,,SPS
giáo dục tiểu học,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,24.73,A00,2021,Phân hiệu Long An,SPS
giáo dục tiểu học,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,24.73,A01,2021,Phân hiệu Long An,SPS
giáo dục tiểu học,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,24.73,D01,2021,Phân hiệu Long An,SPS
sư phạm vật lý,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,27.25,A00,2021,,SPS
sư phạm vật lý,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,27.25,A01,2021,,SPS
sư phạm ngữ văn,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,28.6,C00,2021,,SPS
sư phạm ngữ văn,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,28.6,D01,2021,,SPS
sư phạm ngữ văn,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,27.2,C00,2021,Phân hiệu Long An,SPS
sư phạm ngữ văn,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,27.2,D01,2021,Phân hiệu Long An,SPS
sư phạm tiếng anh,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,27.01,D01,2021,,SPS
sư phạm tiếng anh,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,25.47,D01,2021,Phân hiệu Long An,SPS
ngôn ngữ anh,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,25.86,D01,2021,,SPS
ngôn ngữ pháp,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,22.7,D01,2021,,SPS
ngôn ngữ trung quốc,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,25.05,D01,2021,,SPS
ngôn ngữ nhật,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,23.77,D01,2021,,SPS
ngôn ngữ hàn quốc,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,25.02,D01,2021,,SPS
tâm lý học,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,27.1,B00,2021,,SPS
tâm lý học,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,27.1,C00,2021,,SPS
tâm lý học,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,27.1,D01,2021,,SPS
vật lý học,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,24.44,A00,2021,,SPS
vật lý học,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,24.44,A01,2021,,SPS
công nghệ thông tin,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,23.05,A00,2021,,SPS
công nghệ thông tin,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,23.05,A01,2021,,SPS
quản lý giáo dục,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,25.22,D01,2020,,SPS
quản lý giáo dục,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,25.22,A00,2020,,SPS
quản lý giáo dục,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,25.22,A01,2020,,SPS
giáo dục tiểu học,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,26.13,A00,2020,,SPS
giáo dục tiểu học,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,26.13,A01,2020,,SPS
giáo dục tiểu học,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,26.13,D01,2020,,SPS
giáo dục tiểu học,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,24.73,A00,2020,Phân hiệu Long An,SPS
giáo dục tiểu học,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,24.73,A01,2020,Phân hiệu Long An,SPS
giáo dục tiểu học,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,24.73,D01,2020,Phân hiệu Long An,SPS
sư phạm vật lý,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,27.25,A00,2020,,SPS
sư phạm vật lý,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,27.25,A01,2020,,SPS
sư phạm ngữ văn,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,28.6,C00,2020,,SPS
sư phạm ngữ văn,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,28.6,D01,2020,,SPS
sư phạm ngữ văn,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,27.2,C00,2020,Phân hiệu Long An,SPS
sư phạm ngữ văn,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,27.2,D01,2020,Phân hiệu Long An,SPS
sư phạm tiếng anh,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,27.01,D01,2020,,SPS
sư phạm tiếng anh,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,25.47,D01,2020,Phân hiệu Long An,SPS
ngôn ngữ anh,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,25.86,D01,2020,,SPS
ngôn ngữ pháp,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,22.7,D01,2020,,SPS
ngôn ngữ trung quốc,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,25.05,D01,2020,,SPS
ngôn ngữ nhật,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,23.77,D01,2020,,SPS
ngôn ngữ hàn quốc,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,25.02,D01,2020,,SPS
tâm lý học,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,27.1,B00,2020,,SPS
tâm lý học,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,27.1,C00,2020,,SPS
tâm lý học,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,27.1,D01,2020,,SPS
vật lý học,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,24.44,A00,2020,,SPS
vật lý học,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,24.44,A01,2020,,SPS
công nghệ thông tin,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,23.05,A00,2020,,SPS
công nghệ thông tin,Trung bình,SPS - Trường Đại Học Sư Phạm TPHCM,23.05,A01,2020,,SPS
thiết kế thời trang,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,21.25,A00,2023,,IUH
thiết kế thời trang,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,21.25,A01,2023,,IUH
ngôn ngữ anh,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,23.0,D01,2023,,IUH
marketing,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,25.25,A01,2023,,IUH
marketing,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,25.25,D01,2023,,IUH
marketing,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,22.5,A01,2023,CT tăng cường tiếng Anh,IUH
marketing,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,22.5,D01,2023,CT tăng cường tiếng Anh,IUH
kinh doanh quốc tế,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,26.0,A01,2023,,IUH
kinh doanh quốc tế,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,26.0,D01,2023,,IUH
kinh doanh quốc tế,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,23.0,A01,2023,CT tăng cường tiếng Anh,IUH
kinh doanh quốc tế,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,23.0,D01,2023,CT tăng cường tiếng Anh,IUH
luật kinh tế,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,26.0,A00,2023,,IUH
luật kinh tế,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,26.0,C00,2023,,IUH
luật kinh tế,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,26.0,D01,2023,,IUH
luật kinh tế,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,23.5,A00,2023,CT tăng cường tiếng Anh,IUH
luật kinh tế,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,23.5,C00,2023,CT tăng cường tiếng Anh,IUH
luật kinh tế,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,23.5,D01,2023,CT tăng cường tiếng Anh,IUH
công nghệ thực phẩm,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,20.0,A00,2023,,IUH
công nghệ thực phẩm,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,20.0,B00,2023,,IUH
công nghệ thực phẩm,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,18.0,A00,2023,CT tăng cường tiếng Anh,IUH
công nghệ thực phẩm,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,18.0,B00,2023,CT tăng cường tiếng Anh,IUH
kỹ thuật xây dựng,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,19.0,A00,2023,,IUH
kỹ thuật xây dựng,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,19.0,A01,2023,,IUH
dược học,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,23.0,A00,2023,,IUH
dược học,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,23.0,B00,2023,,IUH
quản trị dịch vụ du lịch và lữ hành,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,22.5,A01,2023,,IUH
quản trị dịch vụ du lịch và lữ hành,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,22.5,D01,2023,,IUH
quản trị dịch vụ du lịch và lữ hành,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,19.0,A01,2023,CT tăng cường tiếng Anh,IUH
quản trị dịch vụ du lịch và lữ hành,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,19.0,D01,2023,CT tăng cường tiếng Anh,IUH
quản lý tài nguyên và môi trường,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,19.0,B00,2023,,IUH
thiết kế thời trang,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,21.25,A00,2022,,IUH
thiết kế thời trang,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,21.25,A01,2022,,IUH
ngôn ngữ anh,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,23.0,D01,2022,,IUH
marketing,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,25.25,A01,2022,,IUH
marketing,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,25.25,D01,2022,,IUH
marketing,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,22.5,A01,2022,CT tăng cường tiếng Anh,IUH
marketing,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,22.5,D01,2022,CT tăng cường tiếng Anh,IUH
kinh doanh quốc tế,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,26.0,A01,2022,,IUH
kinh doanh quốc tế,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,26.0,D01,2022,,IUH
kinh doanh quốc tế,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,23.0,A01,2022,CT tăng cường tiếng Anh,IUH
kinh doanh quốc tế,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,23.0,D01,2022,CT tăng cường tiếng Anh,IUH
luật kinh tế,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,26.0,A00,2022,,IUH
luật kinh tế,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,26.0,C00,2022,,IUH
luật kinh tế,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,26.0,D01,2022,,IUH
luật kinh tế,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,23.5,A00,2022,CT tăng cường tiếng Anh,IUH
luật kinh tế,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,23.5,C00,2022,CT tăng cường tiếng Anh,IUH
luật kinh tế,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,23.5,D01,2022,CT tăng cường tiếng Anh,IUH
công nghệ thực phẩm,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,20.0,A00,2022,,IUH
công nghệ thực phẩm,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,20.0,B00,2022,,IUH
công nghệ thực phẩm,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,18.0,A00,2022,CT tăng cường tiếng Anh,IUH
công nghệ thực phẩm,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,18.0,B00,2022,CT tăng cường tiếng Anh,IUH
kỹ thuật xây dựng,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,19.0,A00,2022,,IUH
kỹ thuật xây dựng,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,19.0,A01,2022,,IUH
dược học,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,23.0,A00,2022,,IUH
dược học,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,23.0,B00,2022,,IUH
quản trị dịch vụ du lịch và lữ hành,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,22.5,A01,2022,,IUH
quản trị dịch vụ du lịch và lữ hành,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,22.5,D01,2022,,IUH
quản trị dịch vụ du lịch và lữ hành,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,19.0,A01,2022,CT tăng cường tiếng Anh,IUH
quản trị dịch vụ du lịch và lữ hành,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,19.0,D01,2022,CT tăng cường tiếng Anh,IUH
quản lý tài nguyên và môi trường,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,19.0,B00,2022,,IUH
thiết kế thời trang,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,21.25,A00,2021,,IUH
thiết kế thời trang,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,21.25,A01,2021,,IUH
ngôn ngữ anh,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,23.0,D01,2021,,IUH
marketing,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,25.25,A01,2021,,IUH
marketing,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,25.25,D01,2021,,IUH
marketing,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,22.5,A01,2021,CT tăng cường tiếng Anh,IUH
marketing,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,22.5,D01,2021,CT tăng cường tiếng Anh,IUH
kinh doanh quốc tế,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,26.0,A01,2021,,IUH
kinh doanh quốc tế,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,26.0,D01,2021,,IUH
kinh doanh quốc tế,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,23.0,A01,2021,CT tăng cường tiếng Anh,IUH
kinh doanh quốc tế,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,23.0,D01,2021,CT tăng cường tiếng Anh,IUH
luật kinh tế,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,26.0,A00,2021,,IUH
luật kinh tế,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,26.0,C00,2021,,IUH
luật kinh tế,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,26.0,D01,2021,,IUH
luật kinh tế,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,23.5,A00,2021,CT tăng cường tiếng Anh,IUH
luật kinh tế,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,23.5,C00,2021,CT tăng cường tiếng Anh,IUH
luật kinh tế,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,23.5,D01,2021,CT tăng cường tiếng Anh,IUH
công nghệ thực phẩm,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,20.0,A00,2021,,IUH
công nghệ thực phẩm,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,20.0,B00,2021,,IUH
công nghệ thực phẩm,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,18.0,A00,2021,CT tăng cường tiếng Anh,IUH
công nghệ thực phẩm,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,18.0,B00,2021,CT tăng cường tiếng Anh,IUH
kỹ thuật xây dựng,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,19.0,A00,2021,,IUH
kỹ thuật xây dựng,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,19.0,A01,2021,,IUH
dược học,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,23.0,A00,2021,,IUH
dược học,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,23.0,B00,2021,,IUH
quản trị dịch vụ du lịch và lữ hành,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,22.5,A01,2021,,IUH
quản trị dịch vụ du lịch và lữ hành,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,22.5,D01,2021,,IUH
quản trị dịch vụ du lịch và lữ hành,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,19.0,A01,2021,CT tăng cường tiếng Anh,IUH
quản trị dịch vụ du lịch và lữ hành,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,19.0,D01,2021,CT tăng cường tiếng Anh,IUH
quản lý tài nguyên và môi trường,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,19.0,B00,2021,,IUH
thiết kế thời trang,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,21.25,A00,2020,,IUH
thiết kế thời trang,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,21.25,A01,2020,,IUH
ngôn ngữ anh,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,23.0,D01,2020,,IUH
marketing,Trung bình,IUH - Trường Đại Học Công Nghiệp TPHCM,25.25,A01,2020,,IUH
