Ngành,Trường,Mã trường,Năm,Chỉ tiêu THPT (Ước tính),market_trend
digital marketing,Đại học Văn Lang,VLU,2023,123-150,0.84
digital marketing,Đại học Văn Lang,VLU,2024,126-155,0.85
digital marketing,Đại học Văn Lang,VLU,2025,135-165,0.86
digital marketing,Đại học Hutech,HTU,2020,143-174,0.82
digital marketing,Đại học Hutech,HTU,2021,163-200,0.83
digital marketing,Đại học Hutech,HTU,2022,168-205,0.84
digital marketing,Đại học Hutech,HTU,2023,173-212,0.84
digital marketing,Đại học Hutech,HTU,2024,177-216,0.85
digital marketing,Đại học Hutech,HTU,2025,153-188,0.86
digital marketing,Đại học Mở TP.HCM,OUM,2020,170-207,0.82
digital marketing,Đại học Mở TP.HCM,OUM,2021,158-193,0.83
digital marketing,Đại học Mở TP.HCM,OUM,2022,156-191,0.84
digital marketing,Đại học Mở TP.HCM,OUM,2023,161-196,0.84
digital marketing,Đại học Mở TP.HCM,OUM,2024,172-211,0.85
digital marketing,Đại học Mở TP.HCM,OUM,2025,189-232,0.86
marketing,Đại học Kinh tế TP.HCM,UEH,2020,70-85,0.74
marketing,Đại học Kinh tế TP.HCM,UEH,2021,66-81,0.75
marketing,Đại học Kinh tế TP.HCM,UEH,2022,71-86,0.75
marketing,Đại học Kinh tế TP.HCM,UEH,2023,74-91,0.76
marketing,Đại học Kinh tế TP.HCM,UEH,2024,82-101,0.77
marketing,Đại học Kinh tế TP.HCM,UEH,2025,70-85,0.78
marketing,Đại học Tài chính - Marketing,UFM,2020,106-129,0.74
marketing,Đại học Tài chính - Marketing,UFM,2021,116-141,0.75
marketing,Đại học Tài chính - Marketing,UFM,2022,115-140,0.75
marketing,Đại học Tài chính - Marketing,UFM,2023,128-157,0.76
marketing,Đại học Tài chính - Marketing,UFM,2024,128-157,0.77
marketing,Đại học Tài chính - Marketing,UFM,2025,109-134,0.78
marketing,Đại học Mở TP.HCM,OUM,2020,171-210,0.74
marketing,Đại học Mở TP.HCM,OUM,2021,192-235,0.75
marketing,Đại học Mở TP.HCM,OUM,2022,165-202,0.75
marketing,Đại học Mở TP.HCM,OUM,2023,171-210,0.76
marketing,Đại học Mở TP.HCM,OUM,2024,178-217,0.77
marketing,Đại học Mở TP.HCM,OUM,2025,180-221,0.78
marketing,Đại học Nguyễn Tất Thành,NTT,2020,182-223,0.74
marketing,Đại học Nguyễn Tất Thành,NTT,2021,184-225,0.75
marketing,Đại học Nguyễn Tất Thành,NTT,2022,189-232,0.75
marketing,Đại học Nguyễn Tất Thành,NTT,2023,182-223,0.76
marketing,Đại học Nguyễn Tất Thành,NTT,2024,215-262,0.77
marketing,Đại học Nguyễn Tất Thành,NTT,2025,217-266,0.78
công nghệ vật liệu,Đại học Bách Khoa TP.HCM,BKA,2020,68-83,0.65
công nghệ vật liệu,Đại học Bách Khoa TP.HCM,BKA,2021,66-81,0.66
công nghệ vật liệu,Đại học Bách Khoa TP.HCM,BKA,2022,66-81,0.66
công nghệ vật liệu,Đại học Bách Khoa TP.HCM,BKA,2023,74-91,0.67
công nghệ vật liệu,Đại học Bách Khoa TP.HCM,BKA,2024,72-89,0.68
công nghệ vật liệu,Đại học Bách Khoa TP.HCM,BKA,2025,71-86,0.68
công nghệ vật liệu,Đại học Sư phạm Kỹ thuật TP.HCM,SPK,2020,89-108,0.65
công nghệ vật liệu,Đại học Sư phạm Kỹ thuật TP.HCM,SPK,2021,94-115,0.66
công nghệ vật liệu,Đại học Sư phạm Kỹ thuật TP.HCM,SPK,2022,92-113,0.66
công nghệ vật liệu,Đại học Sư phạm Kỹ thuật TP.HCM,SPK,2023,94-115,0.67
công nghệ vật liệu,Đại học Sư phạm Kỹ thuật TP.HCM,SPK,2024,84-103,0.68
công nghệ vật liệu,Đại học Sư phạm Kỹ thuật TP.HCM,SPK,2025,87-106,0.68
công nghệ vật liệu,Đại học Công nghiệp TP.HCM,IUH,2020,86-105,0.65
công nghệ vật liệu,Đại học Công nghiệp TP.HCM,IUH,2021,80-97,0.66
công nghệ vật liệu,Đại học Công nghiệp TP.HCM,IUH,2022,89-108,0.66
công nghệ vật liệu,Đại học Công nghiệp TP.HCM,IUH,2023,83-102,0.67
công nghệ vật liệu,Đại học Công nghiệp TP.HCM,IUH,2024,92-113,0.68
công nghệ vật liệu,Đại học Công nghiệp TP.HCM,IUH,2025,89-108,0.68
công nghệ vật liệu,Đại học Hutech,HTU,2020,101-124,0.65
công nghệ vật liệu,Đại học Hutech,HTU,2021,122-149,0.66
công nghệ vật liệu,Đại học Hutech,HTU,2022,122-149,0.66
công nghệ vật liệu,Đại học Hutech,HTU,2023,126-155,0.67
công nghệ vật liệu,Đại học Hutech,HTU,2024,129-158,0.68
công nghệ vật liệu,Đại học Hutech,HTU,2025,130-159,0.68
công nghệ vật liệu,Đại học Nguyễn Tất Thành,NTT,2020,144-176,0.65
công nghệ vật liệu,Đại học Nguyễn Tất Thành,NTT,2021,155-190,0.66
công nghệ vật liệu,Đại học Nguyễn Tất Thành,NTT,2022,171-210,0.66
công nghệ vật liệu,Đại học Nguyễn Tất Thành,NTT,2023,155-190,0.67
công nghệ vật liệu,Đại học Nguyễn Tất Thành,NTT,2024,184-225,0.68
công nghệ vật liệu,Đại học Nguyễn Tất Thành,NTT,2025,183-224,0.68
công nghệ thực phẩm,Đại học Bách Khoa TP.HCM,BKA,2020,92-113,0.65
công nghệ thực phẩm,Đại học Bách Khoa TP.HCM,BKA,2021,96-117,0.66
công nghệ thực phẩm,Đại học Bách Khoa TP.HCM,BKA,2022,96-117,0.66
công nghệ thực phẩm,Đại học Bách Khoa TP.HCM,BKA,2023,99-122,0.67
công nghệ thực phẩm,Đại học Bách Khoa TP.HCM,BKA,2024,107-130,0.68
công nghệ thực phẩm,Đại học Bách Khoa TP.HCM,BKA,2025,106-129,0.68
công nghệ thực phẩm,Đại học Nông Lâm TP.HCM,NLS,2020,125-152,0.65
công nghệ thực phẩm,Đại học Nông Lâm TP.HCM,NLS,2021,128-157,0.66
công nghệ thực phẩm,Đại học Nông Lâm TP.HCM,NLS,2022,132-161,0.66
công nghệ thực phẩm,Đại học Nông Lâm TP.HCM,NLS,2023,126-154,0.67
công nghệ thực phẩm,Đại học Nông Lâm TP.HCM,NLS,2024,149-182,0.68
công nghệ thực phẩm,Đại học Nông Lâm TP.HCM,NLS,2025,145-178,0.68
công nghệ thực phẩm,Đại học Công nghiệp Thực phẩm TP.HCM,HUI,2020,122-149,0.65
công nghệ thực phẩm,Đại học Công nghiệp Thực phẩm TP.HCM,HUI,2021,117-144,0.66
công nghệ thực phẩm,Đại học Công nghiệp Thực phẩm TP.HCM,HUI,2022,120-147,0.66
công nghệ thực phẩm,Đại học Công nghiệp Thực phẩm TP.HCM,HUI,2023,142-173,0.67
công nghệ thực phẩm,Đại học Công nghiệp Thực phẩm TP.HCM,HUI,2024,137-168,0.68
công nghệ thực phẩm,Đại học Công nghiệp Thực phẩm TP.HCM,HUI,2025,139-170,0.68
công nghệ thực phẩm,Đại học Hutech,HTU,2020,159-194,0.65
công nghệ thực phẩm,Đại học Hutech,HTU,2021,164-201,0.66
công nghệ thực phẩm,Đại học Hutech,HTU,2022,152-185,0.66
công nghệ thực phẩm,Đại học Hutech,HTU,2023,173-212,0.67
công nghệ thực phẩm,Đại học Hutech,HTU,2024,165-202,0.68
công nghệ thực phẩm,Đại học Hutech,HTU,2025,180-220,0.68
công nghệ thực phẩm,Đại học Văn Lang,VLU,2020,147-180,0.65
công nghệ thực phẩm,Đại học Văn Lang,VLU,2021,170-207,0.66
công nghệ thực phẩm,Đại học Văn Lang,VLU,2022,157-192,0.66
công nghệ thực phẩm,Đại học Văn Lang,VLU,2023,174-213,0.67
công nghệ thực phẩm,Đại học Văn Lang,VLU,2024,171-210,0.68
công nghệ thực phẩm,Đại học Văn Lang,VLU,2025,172-211,0.68
công nghệ sinh học,Đại học Khoa học Tự nhiên - ĐHQG TP.HCM,QST,2020,92-113,0.75
công nghệ sinh học,Đại học Khoa học Tự nhiên - ĐHQG TP.HCM,QST,2021,93-114,0.76
công nghệ sinh học,Đại học Khoa học Tự nhiên - ĐHQG TP.HCM,QST,2022,97-118,0.77
công nghệ sinh học,Đại học Khoa học Tự nhiên - ĐHQG TP.HCM,QST,2023,100-123,0.77
công nghệ sinh học,Đại học Khoa học Tự nhiên - ĐHQG TP.HCM,QST,2024,105-128,0.78
công nghệ sinh học,Đại học Khoa học Tự nhiên - ĐHQG TP.HCM,QST,2025,97-118,0.79
công nghệ sinh học,Đại học Nông Lâm TP.HCM,NLS,2020,146-179,0.75
công nghệ sinh học,Đại học Nông Lâm TP.HCM,NLS,2021,126-154,0.76
công nghệ sinh học,Đại học Nông Lâm TP.HCM,NLS,2022,129-158,0.77
công nghệ sinh học,Đại học Nông Lâm TP.HCM,NLS,2023,153-187,0.77
công nghệ sinh học,Đại học Nông Lâm TP.HCM,NLS,2024,145-178,0.78
công nghệ sinh học,Đại học Nông Lâm TP.HCM,NLS,2025,141-172,0.79
công nghệ sinh học,Đại học Sư phạm Kỹ thuật TP.HCM,SPK,2020,82-101,0.75
công nghệ sinh học,Đại học Sư phạm Kỹ thuật TP.HCM,SPK,2021,84-103,0.76
công nghệ sinh học,Đại học Sư phạm Kỹ thuật TP.HCM,SPK,2022,87-106,0.77
công nghệ sinh học,Đại học Sư phạm Kỹ thuật TP.HCM,SPK,2023,88-107,0.77
công nghệ sinh học,Đại học Sư phạm Kỹ thuật TP.HCM,SPK,2024,95-116,0.78
công nghệ sinh học,Đại học Sư phạm Kỹ thuật TP.HCM,SPK,2025,90-110,0.79
công nghệ sinh học,Đại học Hutech,HTU,2020,191-234,0.75
công nghệ sinh học,Đại học Hutech,HTU,2021,192-235,0.76
công nghệ sinh học,Đại học Hutech,HTU,2022,176-215,0.77
công nghệ sinh học,Đại học Hutech,HTU,2023,183-224,0.77
công nghệ sinh học,Đại học Hutech,HTU,2024,187-228,0.78
công nghệ sinh học,Đại học Hutech,HTU,2025,187-228,0.79
công nghệ sinh học,Đại học Nguyễn Tất Thành,NTT,2020,175-214,0.75
công nghệ sinh học,Đại học Nguyễn Tất Thành,NTT,2021,191-234,0.76
công nghệ sinh học,Đại học Nguyễn Tất Thành,NTT,2022,183-224,0.77
công nghệ sinh học,Đại học Nguyễn Tất Thành,NTT,2023,198-243,0.77
công nghệ sinh học,Đại học Nguyễn Tất Thành,NTT,2024,188-229,0.78
công nghệ sinh học,Đại học Nguyễn Tất Thành,NTT,2025,202-247,0.79
hóa học,Đại học Khoa học Tự nhiên - ĐHQG TP.HCM,QST,2020,72-89,0.65
hóa học,Đại học Khoa học Tự nhiên - ĐHQG TP.HCM,QST,2021,72-89,0.66
hóa học,Đại học Khoa học Tự nhiên - ĐHQG TP.HCM,QST,2022,71-86,0.66
hóa học,Đại học Khoa học Tự nhiên - ĐHQG TP.HCM,QST,2023,79-96,0.67
hóa học,Đại học Khoa học Tự nhiên - ĐHQG TP.HCM,QST,2024,80-97,0.68
hóa học,Đại học Khoa học Tự nhiên - ĐHQG TP.HCM,QST,2025,69-84,0.68
hóa học,Đại học Sư phạm TP.HCM,SPS,2020,111-136,0.65
hóa học,Đại học Sư phạm TP.HCM,SPS,2021,108-133,0.66
hóa học,Đại học Sư phạm TP.HCM,SPS,2022,124-151,0.66
hóa học,Đại học Sư phạm TP.HCM,SPS,2023,114-139,0.67
hóa học,Đại học Sư phạm TP.HCM,SPS,2024,124-151,0.68
hóa học,Đại học Sư phạm TP.HCM,SPS,2025,117-143,0.68
hóa học,Đại học Công nghiệp TP.HCM,IUH,2020,90-110,0.65
hóa học,Đại học Công nghiệp TP.HCM,IUH,2021,106-129,0.66
hóa học,Đại học Công nghiệp TP.HCM,IUH,2022,96-117,0.66
hóa học,Đại học Công nghiệp TP.HCM,IUH,2023,95-116,0.67
hóa học,Đại học Công nghiệp TP.HCM,IUH,2024,113-138,0.68
hóa học,Đại học Công nghiệp TP.HCM,IUH,2025,107-130,0.68
hóa học,Đại học Hutech,HTU,2020,126-155,0.65
hóa học,Đại học Hutech,HTU,2021,117-144,0.66
hóa học,Đại học Hutech,HTU,2022,127-156,0.66
hóa học,Đại học Hutech,HTU,2023,124-151,0.67
hóa học,Đại học Hutech,HTU,2024,140-171,0.68
hóa học,Đại học Hutech,HTU,2025,142-173,0.68
hóa học,Đại học Nguyễn Tất Thành,NTT,2020,97-118,0.65
hóa học,Đại học Nguyễn Tất Thành,NTT,2021,93-114,0.66
hóa học,Đại học Nguyễn Tất Thành,NTT,2022,95-116,0.66
hóa học,Đại học Nguyễn Tất Thành,NTT,2023,106-129,0.67
hóa học,Đại học Nguyễn Tất Thành,NTT,2024,97-118,0.68
hóa học,Đại học Nguyễn Tất Thành,NTT,2025,103-126,0.68
khoa học máy tính,Đại học Bách Khoa TP.HCM,BKA,2020,92-113,0.85
khoa học máy tính,Đại học Bách Khoa TP.HCM,BKA,2021,87-106,0.86
khoa học máy tính,Đại học Bách Khoa TP.HCM,BKA,2022,90-110,0.87
khoa học máy tính,Đại học Bách Khoa TP.HCM,BKA,2023,105-128,0.88
khoa học máy tính,Đại học Bách Khoa TP.HCM,BKA,2024,101-124,0.88
khoa học máy tính,Đại học Bách Khoa TP.HCM,BKA,2025,107-130,0.89
khoa học máy tính,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,QSC,2020,87-106,0.85
khoa học máy tính,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,QSC,2021,91-112,0.86
khoa học máy tính,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,QSC,2022,81-99,0.87
khoa học máy tính,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,QSC,2023,90-110,0.88
khoa học máy tính,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,QSC,2024,84-103,0.88
khoa học máy tính,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,QSC,2025,86-105,0.89
khoa học máy tính,Đại học Hutech,HTU,2020,98-119,0.85
khoa học máy tính,Đại học Hutech,HTU,2021,108-132,0.86
khoa học máy tính,Đại học Hutech,HTU,2022,119-146,0.87
khoa học máy tính,Đại học Hutech,HTU,2023,116-141,0.88
khoa học máy tính,Đại học Hutech,HTU,2024,117-143,0.88
khoa học máy tính,Đại học Hutech,HTU,2025,128-157,0.89
khoa học máy tính,Đại học Nguyễn Tất Thành,NTT,2020,133-162,0.85
khoa học máy tính,Đại học Nguyễn Tất Thành,NTT,2021,150-183,0.86
khoa học máy tính,Đại học Nguyễn Tất Thành,NTT,2022,131-160,0.87
khoa học máy tính,Đại học Nguyễn Tất Thành,NTT,2023,138-169,0.88
khoa học máy tính,Đại học Nguyễn Tất Thành,NTT,2024,152-185,0.88
khoa học máy tính,Đại học Nguyễn Tất Thành,NTT,2025,160-195,0.89
khoa học dữ liệu và trí tuệ nhân tạo,Đại học Bách Khoa TP.HCM,BKA,2020,76-93,0.88
khoa học dữ liệu và trí tuệ nhân tạo,Đại học Bách Khoa TP.HCM,BKA,2021,73-90,0.89
khoa học dữ liệu và trí tuệ nhân tạo,Đại học Bách Khoa TP.HCM,BKA,2022,72-88,0.9
khoa học dữ liệu và trí tuệ nhân tạo,Đại học Bách Khoa TP.HCM,BKA,2023,82-101,0.91
khoa học dữ liệu và trí tuệ nhân tạo,Đại học Bách Khoa TP.HCM,BKA,2024,85-104,0.92
khoa học dữ liệu và trí tuệ nhân tạo,Đại học Bách Khoa TP.HCM,BKA,2025,87-106,0.92
khoa học dữ liệu và trí tuệ nhân tạo,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,QSC,2020,138-169,0.88
khoa học dữ liệu và trí tuệ nhân tạo,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,QSC,2021,130-159,0.89
khoa học dữ liệu và trí tuệ nhân tạo,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,QSC,2022,147-180,0.9
khoa học dữ liệu và trí tuệ nhân tạo,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,QSC,2023,150-183,0.91
khoa học dữ liệu và trí tuệ nhân tạo,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,QSC,2024,133-162,0.92
khoa học dữ liệu và trí tuệ nhân tạo,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,QSC,2025,159-194,0.92
khoa học dữ liệu và trí tuệ nhân tạo,Đại học Hutech,HTU,2020,153-187,0.88
khoa học dữ liệu và trí tuệ nhân tạo,Đại học Hutech,HTU,2021,149-182,0.89
khoa học dữ liệu và trí tuệ nhân tạo,Đại học Hutech,HTU,2022,180-221,0.9
khoa học dữ liệu và trí tuệ nhân tạo,Đại học Hutech,HTU,2023,166-203,0.91
khoa học dữ liệu và trí tuệ nhân tạo,Đại học Hutech,HTU,2024,163-200,0.92
khoa học dữ liệu và trí tuệ nhân tạo,Đại học Hutech,HTU,2025,178-217,0.92
khoa học dữ liệu và trí tuệ nhân tạo,Đại học Văn Lang,VLU,2020,171-209,0.88
khoa học dữ liệu và trí tuệ nhân tạo,Đại học Văn Lang,VLU,2021,163-200,0.89
khoa học dữ liệu và trí tuệ nhân tạo,Đại học Văn Lang,VLU,2022,198-243,0.9
khoa học dữ liệu và trí tuệ nhân tạo,Đại học Văn Lang,VLU,2023,188-229,0.91
khoa học dữ liệu và trí tuệ nhân tạo,Đại học Văn Lang,VLU,2024,207-253,0.92
khoa học dữ liệu và trí tuệ nhân tạo,Đại học Văn Lang,VLU,2025,209-256,0.92
khoa học dữ liệu,Đại học Kinh tế TP.HCM,UEH,2020,70-85,0.87
khoa học dữ liệu,Đại học Kinh tế TP.HCM,UEH,2021,73-90,0.88
khoa học dữ liệu,Đại học Kinh tế TP.HCM,UEH,2022,66-81,0.89
khoa học dữ liệu,Đại học Kinh tế TP.HCM,UEH,2023,70-85,0.9
khoa học dữ liệu,Đại học Kinh tế TP.HCM,UEH,2024,68-83,0.9
khoa học dữ liệu,Đại học Kinh tế TP.HCM,UEH,2025,67-82,0.91
khoa học dữ liệu,Đại học Tài chính - Marketing,UFM,2020,88-107,0.87
khoa học dữ liệu,Đại học Tài chính - Marketing,UFM,2021,88-107,0.88
khoa học dữ liệu,Đại học Tài chính - Marketing,UFM,2022,81-99,0.89
khoa học dữ liệu,Đại học Tài chính - Marketing,UFM,2023,99-121,0.9
khoa học dữ liệu,Đại học Tài chính - Marketing,UFM,2024,91-112,0.9
khoa học dữ liệu,Đại học Tài chính - Marketing,UFM,2025,87-106,0.91
khoa học dữ liệu,Đại học Mở TP.HCM,OUM,2020,175-214,0.87
khoa học dữ liệu,Đại học Mở TP.HCM,OUM,2021,194-237,0.88
khoa học dữ liệu,Đại học Mở TP.HCM,OUM,2022,193-236,0.89
khoa học dữ liệu,Đại học Mở TP.HCM,OUM,2023,198-243,0.9
khoa học dữ liệu,Đại học Mở TP.HCM,OUM,2024,198-242,0.9
khoa học dữ liệu,Đại học Mở TP.HCM,OUM,2025,187-228,0.91
khoa học dữ liệu,Đại học Nguyễn Tất Thành,NTT,2020,132-161,0.87
khoa học dữ liệu,Đại học Nguyễn Tất Thành,NTT,2021,140-171,0.88
khoa học dữ liệu,Đại học Nguyễn Tất Thành,NTT,2022,134-163,0.89
khoa học dữ liệu,Đại học Nguyễn Tất Thành,NTT,2023,138-169,0.9
khoa học dữ liệu,Đại học Nguyễn Tất Thành,NTT,2024,150-183,0.9
khoa học dữ liệu,Đại học Nguyễn Tất Thành,NTT,2025,143-174,0.91
an toàn thông tin,Đại học Bách Khoa TP.HCM,BKA,2020,78-95,0.83
an toàn thông tin,Đại học Bách Khoa TP.HCM,BKA,2021,83-102,0.84
an toàn thông tin,Đại học Bách Khoa TP.HCM,BKA,2022,84-103,0.85
an toàn thông tin,Đại học Bách Khoa TP.HCM,BKA,2023,77-94,0.85
an toàn thông tin,Đại học Bách Khoa TP.HCM,BKA,2024,79-96,0.86
