StudentID,Toan,NguVan,VatLy,HoaHoc,SinhHoc,LichSu,DiaLy,GDCD,NgoaiNgu,Interests,Tohopthi,Major_1,Score_1,Subject_Group_1,Major_2,Score_2,Subject_Group_2,Major_3,Score_3,Subject_Group_3
S00021,7.8,4.25,6.75,9.75,8.25,,,,8.4,"Giao tiếp,Điện tử,Thống kê",TN,xã hội học,0.634,A00,tự động hóa,0.596,D07,logistics và quản lý chuỗi cung ứng,0.596,D07
S00022,7.0,5.08,,,,6.75,7.0,8.75,4.2,"Chính trị,Quản lý,Quảng cáo",XH,kế toán,0.523,A09,quản lý tài nguyên và môi trường,0.518,C20,quản trị kinh doanh quốc tế,0.508,C20
S00023,8.4,8.0,8.25,8.0,8.5,,,,4.6,"Chăm sóc sức khỏe,Truyền thông,Máy tính",TN,công nghệ thông tin,0.582,B00,digital marketing,0.582,B00,an toàn thông tin,0.579,A00
S00024,7.2,8.5,,,,7.75,8.25,9.25,4.8,"Dạy học,Giao tiếp,Văn học",XH,tâm lý học,0.587,C20,quản trị kinh doanh quốc tế,0.577,C20,marketing,0.559,C04
S00025,7.4,7.5,,,,5.5,7.75,8.25,5.2,"Giáo dục,Chính trị,Giúp đỡ người khác",XH,tâm lý học,0.508,D01,quản trị nhân lực,0.498,D01,quan hệ quốc tế,0.493,D15
S00026,8.4,9.0,,,,6.25,7.0,7.25,5.8,"Truyền thông,Phân tích dữ liệu,Quản lý",XH,digital marketing,0.675,C04,logistics và quản lý chuỗi cung ứng,0.659,D01,quản trị kinh doanh,0.639,D01
S00027,7.6,7.0,,,,8.0,8.25,9.25,4.0,"Lãnh đạo,Trò chơi điện tử,Quản lý",XH,quản lý bệnh viện,0.588,D01,quản trị kinh doanh,0.578,D01,công nghệ thông tin,0.568,C14
S00028,7.6,8.75,,,,7.75,7.75,8.25,5.4,"Truyền thông,Dịch vụ khách hàng,Dạy học",XH,digital marketing,0.571,C04,marketing,0.561,C04,quản trị dịch vụ du lịch và lữ hành,0.561,C04
S00029,5.0,7.5,,,,7.0,8.5,9.25,4.2,"Du lịch,Truyền thông,Văn học",XH,ngôn ngữ hàn quốc,0.589,D66,digital marketing,0.53,C04,marketing,0.52,C04
S00030,6.0,7.25,,,,6.75,6.75,7.25,4.4,"Giáo dục,Nghệ thuật,Quảng cáo",XH,digital marketing,0.517,C04,marketing,0.507,C04,quan hệ công chúng,0.475,D14
S00031,5.6,4.75,,,,6.75,5.5,7.0,2.6,"Thiết kế,Kinh doanh,Y học",XH,tài chính - ngân hàng,0.488,A08,quản trị kinh doanh quốc tế,0.46,C20,kỹ thuật xây dựng,0.443,D84
S00032,4.8,5.75,,,,4.75,3.75,7.25,5.6,"Tài chính,Văn hóa,Toán học",XH,tài chính - ngân hàng,0.554,A08,quản trị dịch vụ du lịch và lữ hành,0.488,D66,kỹ thuật xây dựng,0.475,D84
S00033,6.4,7.5,7.5,7.25,6.75,,,,6.8,"Nông nghiệp,Môi trường,Thiên nhiên",TN,nông nghiệp,0.692,A00,kỹ thuật môi trường,0.622,A00,quản lý tài nguyên và môi trường,0.622,A00
S00034,8.2,8.5,,,,6.75,7.5,8.5,8.4,"Giáo dục,Sáng tạo,Ngoại ngữ",XH,sư phạm tiếng anh,0.655,D01,giáo dục tiểu học,0.645,D01,kỹ thuật phần mềm,0.586,C14
S00035,8.6,7.25,5.25,6.5,8.0,,,,8.2,"Toán học,Ngoại ngữ,Bảo mật thông tin",TN,khoa học dữ liệu và trí tuệ nhân tạo,0.581,D01,an toàn thông tin,0.571,D01,trí tuệ nhân tạo,0.571,D01
S00036,8.2,9.0,7.25,6.5,6.5,,,,6.8,"Kỹ thuật,Hóa học,Cơ khí",TN,công nghệ kỹ thuật ô tô,0.65,D01,tự động hóa,0.57,D01,kỹ thuật môi trường,0.56,D01
S00037,5.4,8.25,,,,5.25,6.25,8.0,4.4,"Văn hóa,Sáng tạo,Giúp đỡ người khác",XH,thiết kế thời trang,0.551,D01,nghệ thuật,0.551,D01,kỹ thuật phần mềm,0.539,C14
S00038,6.2,7.5,6.75,5.25,6.5,,,,7.0,"Công nghệ,Máy tính,Lãnh đạo",TN,an toàn thông tin,0.626,D01,kỹ thuật phần mềm,0.626,D01,công nghệ thông tin,0.626,D01
S00039,5.2,8.25,,,,8.25,7.5,8.75,3.0,"Truyền thông,Giúp đỡ người khác,Ẩm thực",XH,tâm lý học,0.567,C20,digital marketing,0.529,C04,marketing,0.519,C04
S00040,8.2,4.25,8.75,6.5,6.75,,,,9.0,"Phân tích dữ liệu,Giao tiếp,Tự động hóa",TN,logistics và quản lý chuỗi cung ứng,0.696,A01,trí tuệ nhân tạo,0.696,A01,quản trị kinh doanh,0.676,A01
S00041,4.0,7.0,,,,5.75,6.0,7.75,2.8,"Dạy học,Thiết kế,Văn hóa",XH,thiết kế thời trang,0.517,D14,nghệ thuật,0.517,D14,quản trị kinh doanh quốc tế,0.507,C20
S00042,8.2,7.25,7.75,6.25,5.5,,,,4.0,"Phân tích dữ liệu,Lập trình,Kỹ thuật",TN,kỹ thuật phần mềm,0.646,A00,trí tuệ nhân tạo,0.646,A00,công nghệ thông tin,0.646,A00
S00043,7.4,8.5,,,,6.75,7.0,8.75,7.4,"Luật pháp,Dịch vụ khách hàng,Sáng tạo",XH,kỹ thuật phần mềm,0.579,C14,quản trị dịch vụ du lịch và lữ hành,0.569,D66,digital marketing,0.561,D01
S00044,7.4,8.25,,,,9.25,9.5,9.25,5.8,"Kinh doanh,Ngoại ngữ,Văn học",XH,quản trị kinh doanh quốc tế,0.69,C20,luật kinh tế,0.58,C20,marketing,0.575,C04
S00045,7.6,7.75,,,,7.75,8.5,9.25,4.6,"Tài chính,Dịch vụ khách hàng,Giúp đỡ người khác",XH,bảo hiểm,0.586,D01,tâm lý học,0.58,C20,kế toán,0.558,A09
S00046,4.4,5.0,,,,7.75,6.0,7.75,2.4,"Giao tiếp,Tài chính,Thiên nhiên",XH,tài chính - ngân hàng,0.495,A08,quản lý tài nguyên và môi trường,0.49,C20,quản trị kinh doanh quốc tế,0.48,C20
S00047,8.2,7.75,,,,8.5,8.0,9.5,7.2,"Kỹ thuật,Quảng cáo,Văn học",XH,kỹ thuật xây dựng,0.572,D84,digital marketing,0.569,C04,marketing,0.559,C04
S00048,6.6,5.0,,,,5.75,6.25,6.5,4.4,"Giúp đỡ người khác,Giáo dục,Nghệ thuật",XH,tâm lý học,0.453,D01,thiết kế đồ họa,0.443,D09,kiến trúc,0.443,D01
S00049,7.6,8.75,,,,5.0,5.75,6.75,5.6,"Truyền thông,Thiết kế,Ngoại ngữ",XH,nghệ thuật,0.603,D01,ngôn ngữ hàn quốc,0.603,D01,digital marketing,0.545,C04
S00050,7.2,8.0,,,,6.75,8.25,9.5,6.0,"Tài chính,Sáng tạo,Hóa học",XH,công nghệ thực phẩm,0.623,D01,kỹ thuật phần mềm,0.579,C14,digital marketing,0.563,C04
S00051,8.0,6.25,8.5,8.5,7.0,,,,7.4,"Phân tích dữ liệu,Tự động hóa,Thống kê",TN,khoa học dữ liệu và trí tuệ nhân tạo,0.693,A00,trí tuệ nhân tạo,0.683,A00,khoa học dữ liệu,0.683,A00
S00052,7.2,5.75,5.5,4.0,4.75,,,,6.2,"Hóa học,Lập trình,Thể thao",TN,tự động hóa,0.505,D01,kỹ thuật phần mềm,0.505,D01,công nghệ thông tin,0.505,D01
S00053,8.4,5.25,8.25,7.75,6.0,,,,4.8,"Xây dựng,Toán học,Lập trình",TN,trí tuệ nhân tạo,0.675,A00,khoa học máy tính,0.675,A00,kỹ thuật xây dựng,0.665,A00
S00054,7.8,8.0,,,,8.25,7.0,9.5,6.4,"Luật pháp,Dịch vụ khách hàng,Truyền thông",XH,quản trị dịch vụ du lịch và lữ hành,0.559,D66,digital marketing,0.554,C04,luật kinh tế,0.547,C20
S00055,8.6,8.0,5.5,9.25,5.5,,,,7.8,"Máy tính,Sáng tạo,Bảo mật thông tin",TN,kỹ thuật phần mềm,0.692,D07,an toàn thông tin,0.675,D01,thiết kế đồ họa,0.645,D01
S00056,6.6,9.5,,,,7.5,8.5,8.75,5.8,"Luật pháp,Văn học,Đọc sách",XH,luật kinh tế,0.577,C20,ngôn ngữ anh,0.537,D15,quản lý tài nguyên và môi trường,0.397,C20
S00057,3.6,6.25,,,,7.0,6.25,8.0,2.8,"Giúp đỡ người khác,Kinh doanh,Máy tính",XH,quản trị kinh doanh quốc tế,0.503,C20,tài chính - ngân hàng,0.478,A08,tâm lý học,0.454,D14
S00058,4.4,8.25,,,,7.0,8.0,8.5,2.6,"Văn hóa,Thiết kế,Văn học",XH,quản trị kinh doanh quốc tế,0.56,C20,thiết kế thời trang,0.548,D14,nghệ thuật,0.548,D14
S00059,7.6,7.5,6.5,7.0,6.5,,,,4.4,"Cơ khí,Khoa học,Máy tính",TN,an toàn thông tin,0.531,A00,tự động hóa,0.531,A00,kỹ thuật phần mềm,0.531,A00
S00060,3.8,5.25,,,,6.25,7.0,8.25,3.8,"Quảng cáo,Ngoại ngữ,Dịch vụ khách hàng",XH,quản trị dịch vụ du lịch và lữ hành,0.571,D66,quản trị khách sạn,0.554,D15,quản trị kinh doanh quốc tế,0.503,C20
S00061,7.0,7.0,,,,5.0,7.25,9.75,4.2,"Lãnh đạo,Quảng cáo,Thể thao",XH,digital marketing,0.533,C04,marketing,0.523,C04,quản lý bệnh viện,0.483,D01
S00062,7.0,7.25,,,,7.0,8.25,8.75,4.6,"Giáo dục,Tài chính,Nghệ thuật",XH,kế toán,0.54,A09,tài chính - ngân hàng,0.533,A08,kiến trúc,0.481,D01
S00063,3.2,4.25,,,,4.25,5.25,6.0,3.0,"Luật pháp,Ẩm thực,Nghiên cứu",XH,quản lý tài nguyên và môi trường,0.447,C20,quản trị kinh doanh quốc tế,0.237,C20,,0.0,
S00064,7.0,7.25,8.5,7.75,5.25,,,,4.4,"Thống kê,Thiên nhiên,Đọc sách",TN,khoa học dữ liệu và trí tuệ nhân tạo,0.57,A00,khoa học dữ liệu,0.56,A00,kỹ thuật môi trường,0.55,A00
S00065,4.0,6.5,,,,5.5,5.75,8.25,3.8,"Du lịch,Văn học,Máy tính",XH,công nghệ thông tin,0.5,C14,quản trị dịch vụ du lịch và lữ hành,0.487,D66,ngôn ngữ hàn quốc,0.457,D66
S00066,8.2,8.5,,,,6.5,7.5,8.0,6.2,"Văn học,Văn hóa,Toán học",XH,ngôn ngữ pháp,0.615,D01,khoa học máy tính,0.579,C14,khoa học dữ liệu và trí tuệ nhân tạo,0.565,D01
S00067,7.6,6.25,7.75,6.25,5.0,,,,7.8,"Xây dựng,Khoa học,Tài chính",TN,thú y,0.549,A01,kỹ thuật môi trường,0.549,A01,y khoa,0.549,A01
S00068,6.0,6.75,,,,6.0,7.25,8.0,4.2,"Thiết kế,Văn hóa,Đọc sách",XH,ngôn ngữ anh,0.563,D15,thiết kế thời trang,0.536,D01,nghệ thuật,0.536,D01
S00069,5.8,8.25,,,,7.75,8.0,8.75,5.8,"Đọc sách,Văn học,Lãnh đạo",XH,ngôn ngữ anh,0.514,D15,quản lý bệnh viện,0.505,D01,quản trị kinh doanh,0.495,D01
S00070,5.4,5.25,,,,5.25,5.5,7.25,3.4,"Đọc sách,Trò chơi điện tử,Điện tử",XH,quản lý tài nguyên và môi trường,0.28,C20,quản trị kinh doanh quốc tế,0.27,C20,tài chính - ngân hàng,0.269,A08
S00071,6.4,8.5,,,,9.25,8.5,9.25,6.4,"Giúp đỡ người khác,Văn hóa,Truyền thông",XH,nghệ thuật,0.632,D14,ngôn ngữ hàn quốc,0.632,D14,tâm lý học,0.6,C19
S00072,6.8,8.75,,,,6.75,7.5,8.75,3.4,"Lãnh đạo,Văn học,Giúp đỡ người khác",XH,tâm lý học,0.573,C20,quản lý bệnh viện,0.493,D01,quản trị kinh doanh,0.483,D01
S00073,5.0,6.25,,,,6.75,6.75,7.25,3.2,"Giao tiếp,Ngoại ngữ,Thống kê",XH,quản trị kinh doanh quốc tế,0.6,C20,quản trị khách sạn,0.556,D14,quan hệ quốc tế,0.536,D14
S00074,5.2,8.75,,,,5.5,7.0,8.5,4.0,"Dịch vụ khách hàng,Sáng tạo,Quảng cáo",XH,digital marketing,0.629,C04,marketing,0.619,C04,quan hệ công chúng,0.573,D14
S00075,7.8,6.75,5.75,6.5,6.0,,,,5.8,"Máy tính,Thiên nhiên,Thiết kế",TN,thiết kế đồ họa,0.591,D01,an toàn thông tin,0.521,D01,kỹ thuật phần mềm,0.521,D01
S00076,5.8,7.25,,,,7.0,8.5,9.0,4.8,"Luật pháp,Chăm sóc sức khỏe,Tài chính",XH,luật kinh tế,0.55,C20,kế toán,0.531,A09,tài chính - ngân hàng,0.521,A08
S00077,6.6,7.5,,,,7.75,7.5,7.75,2.0,"Luật pháp,Thể thao,Ẩm thực",XH,luật kinh tế,0.523,C20,công nghệ thực phẩm,0.455,D01,thiết kế thời trang,0.44,D14
S00078,4.6,7.75,5.0,3.25,5.75,,,,3.8,"Thiên nhiên,Thống kê,Tài chính",TN,kế toán,0.535,D01,kiểm toán,0.535,D01,bảo hiểm,0.535,D01
S00079,7.4,8.75,,,,6.25,7.0,9.0,5.2,"Chính trị,Sáng tạo,Tài chính",XH,kỹ thuật phần mềm,0.585,C14,digital marketing,0.559,C04,marketing,0.549,C04
S00080,9.0,8.75,6.0,8.0,6.5,,,,9.4,"Y học,Kỹ thuật,Truyền thông",TN,digital marketing,0.612,D01,marketing,0.602,D01,thú y,0.602,D01
S00081,8.0,9.0,,,,7.75,7.75,9.0,9.4,"Tài chính,Thiết kế,Du lịch",XH,quản trị dịch vụ du lịch và lữ hành,0.605,D66,quản trị khách sạn,0.592,D01,kỹ thuật điện - điện tử,0.592,D01
S00082,4.4,7.0,,,,4.25,6.75,7.5,2.4,"Thể thao,Sáng tạo,Ẩm thực",XH,quản lý tài nguyên và môi trường,0.323,C20,quản trị kinh doanh quốc tế,0.313,C20,luật kinh tế,0.303,C20
S00083,4.8,8.0,,,,4.75,6.5,6.75,3.8,"Đọc sách,Kinh doanh,Văn học",XH,quản trị kinh doanh quốc tế,0.513,C20,luật kinh tế,0.503,C20,tài chính - ngân hàng,0.487,C04
S00084,6.6,6.0,,,,6.5,9.5,7.0,,"Nghệ thuật,Dịch vụ khách hàng,Quản lý",GDTXXH,quản trị dịch vụ du lịch và lữ hành,0.635,C04,quản trị khách sạn,0.547,D15,quản lý tài nguyên và môi trường,0.54,C20
S00085,5.8,8.25,,,,8.5,9.0,8.5,3.2,"Thể thao,Kinh doanh,Sáng tạo",XH,marketing,0.647,C04,quan hệ công chúng,0.596,D14,thiết kế thời trang,0.576,D14
S00086,7.6,7.75,4.0,9.0,5.5,,,,8.2,"Du lịch,Điện tử,Xây dựng",TN,tự động hóa,0.581,D07,quản trị khách sạn,0.571,D07,kỹ thuật điện - điện tử,0.571,D07
S00087,7.4,8.75,8.0,6.0,6.0,,,,9.0,"Khoa học,Điện tử,Sáng tạo",TN,công nghệ thực phẩm,0.675,D01,tự động hóa,0.585,D01,kỹ thuật phần mềm,0.585,D01
S00088,7.8,6.5,5.25,4.5,6.5,,,,5.6,"Thiên nhiên,Toán học,Xây dựng",TN,kỹ thuật xây dựng,0.605,D01,kiến trúc,0.595,D01,quản lý đất đai,0.585,D01
S00089,8.2,8.5,,,,7.0,8.25,8.5,8.6,"Sáng tạo,Kinh doanh,Phân tích dữ liệu",XH,kỹ thuật phần mềm,0.687,D01,logistics và quản lý chuỗi cung ứng,0.687,D01,digital marketing,0.687,D01
S00090,5.8,7.75,,,,9.0,8.25,8.0,4.2,"Thiết kế,Quảng cáo,Khoa học",XH,công nghệ vật liệu,0.567,D01,quản lý tài nguyên và môi trường,0.56,C20,tâm lý học,0.56,C20
S00091,7.0,8.5,,,,6.75,8.75,8.75,5.4,"Văn học,Dạy học,Giáo dục",XH,quản lý tài nguyên và môi trường,0.387,C20,tâm lý học,0.387,C20,quản trị kinh doanh quốc tế,0.377,C20
S00092,5.4,7.0,,,,6.5,8.0,8.5,4.2,"Văn hóa,Ngoại ngữ,Chăm sóc sức khỏe",XH,quản trị kinh doanh quốc tế,0.643,C20,quản trị dịch vụ du lịch và lữ hành,0.612,C04,quan hệ quốc tế,0.576,D15
S00093,7.2,9.0,,,,7.75,8.0,8.0,6.6,"Truyền thông,Lãnh đạo,Quản lý",XH,quản lý bệnh viện,0.644,D01,quản trị kinh doanh,0.634,D01,quản lý tài nguyên và môi trường,0.573,C20
S00094,7.0,7.75,,,,8.0,6.75,8.0,7.0,"Chính trị,Du lịch,Thể thao",XH,quản trị khách sạn,0.543,D14,quản trị dịch vụ du lịch và lữ hành,0.543,D66,quan hệ quốc tế,0.523,D14
S00095,6.4,8.5,,,,5.25,5.75,8.5,6.0,"Văn học,Thiết kế,Du lịch",XH,quản trị dịch vụ du lịch và lữ hành,0.547,D66,quản trị khách sạn,0.519,D01,kỹ thuật điện - điện tử,0.519,D01
S00096,6.4,8.0,,,,8.5,8.0,8.75,6.6,"Luật pháp,Văn học,Thiết kế",XH,luật kinh tế,0.55,C20,kỹ thuật xây dựng,0.53,D84,công nghệ kỹ thuật ô tô,0.529,C04
S00097,8.4,8.5,8.25,8.5,8.25,,,,5.0,"Lập trình,Toán học,Truyền thông",TN,trí tuệ nhân tạo,0.685,A00,khoa học máy tính,0.685,A00,khoa học dữ liệu và trí tuệ nhân tạo,0.595,A00
S00098,8.0,8.25,8.0,8.0,7.25,,,,6.6,"Kỹ thuật,Truyền thông,Máy tính",TN,an toàn thông tin,0.57,A00,kỹ thuật phần mềm,0.57,A00,công nghệ thông tin,0.57,A00
S00099,6.6,7.0,,,,7.75,8.0,9.25,4.8,"Ẩm thực,Văn hóa,Luật pháp",XH,quản trị kinh doanh quốc tế,0.553,C20,luật kinh tế,0.543,C20,quản trị dịch vụ du lịch và lữ hành,0.528,C04
S00100,7.0,7.75,,,,9.75,9.25,8.5,6.2,"Sáng tạo,Luật pháp,Dịch vụ khách hàng",XH,digital marketing,0.57,C04,marketing,0.56,C04,kỹ thuật phần mềm,0.56,C14
S00101,3.4,6.75,,,,6.0,6.0,5.5,3.8,"Đọc sách,Giúp đỡ người khác,Du lịch",XH,ngôn ngữ anh,0.541,D14,quản trị khách sạn,0.461,D14,quản trị dịch vụ du lịch và lữ hành,0.461,D15
S00102,6.8,9.0,4.5,5.0,6.25,,,,5.2,"Hóa học,Văn học,Y học",TN,công nghệ sinh học,0.534,B03,quản lý bệnh viện,0.534,B03,thú y,0.52,D01
S00103,5.8,7.25,,,,5.5,6.25,6.75,4.2,"Giáo dục,Quảng cáo,Tự động hóa",XH,digital marketing,0.507,C04,công nghệ kỹ thuật ô tô,0.487,C04,tự động hóa,0.48,D01
S00104,7.8,7.5,,,,8.25,9.25,9.25,6.0,"Văn hóa,Nghệ thuật,Nghiên cứu",XH,quan hệ quốc tế,0.623,D15,ngôn ngữ trung quốc,0.617,D10,thiết kế thời trang,0.604,D09
S00105,8.2,7.75,7.5,7.5,5.75,,,,7.0,"Toán học,Nông nghiệp,Bảo mật thông tin",TN,khoa học dữ liệu và trí tuệ nhân tạo,0.569,A00,an toàn thông tin,0.559,A00,trí tuệ nhân tạo,0.559,A00
S00106,4.0,6.5,,,,8.0,6.75,7.75,4.0,"Văn học,Du lịch,Văn hóa",XH,quản trị dịch vụ du lịch và lữ hành,0.587,D14,ngôn ngữ anh,0.567,D14,ngôn ngữ trung quốc,0.557,D14
S00107,8.0,7.25,,,,9.5,8.75,9.75,4.6,"Toán học,Giúp đỡ người khác,Tài chính",XH,tài chính - ngân hàng,0.693,A08,khoa học máy tính,0.583,C14,tâm lý học,0.583,C20
S00108,8.0,9.0,7.0,7.25,7.25,,,,7.8,"Toán học,Cơ khí,Sáng tạo",TN,kiến trúc,0.661,D01,khoa học dữ liệu và trí tuệ nhân tạo,0.591,D01,tự động hóa,0.581,D01
S00109,8.0,6.25,7.5,8.25,6.75,,,,7.0,"Điện tử,Nghiên cứu,Toán học",TN,khoa học dữ liệu và trí tuệ nhân tạo,0.677,A00,khoa học dữ liệu,0.667,A00,khoa học máy tính,0.667,A00
S00110,7.0,8.5,9.0,6.0,7.25,,,,7.0,"Nông nghiệp,Văn học,Thống kê",TN,khoa học dữ liệu và trí tuệ nhân tạo,0.567,A01,khoa học dữ liệu,0.557,A01,kế toán,0.527,A01
S00111,6.8,6.75,3.75,7.0,4.25,,,,4.4,"Y học,Cơ khí,Môi trường",TN,tự động hóa,0.493,D07,thú y,0.483,D07,kỹ thuật môi trường,0.483,D07
S00112,7.0,8.0,,,,9.25,9.0,9.0,7.0,"Quảng cáo,Văn học,Truyền thông",XH,digital marketing,0.67,C04,marketing,0.66,C04,quan hệ công chúng,0.653,D14
S00113,8.4,8.25,7.75,8.25,6.5,,,,5.0,"Thống kê,Văn học,Toán học",TN,khoa học dữ liệu và trí tuệ nhân tạo,0.685,A00,khoa học dữ liệu,0.675,A00,thống kê,0.645,A00
S00114,8.4,8.5,,,,9.25,8.0,9.5,8.2,"Giao tiếp,Sáng tạo,Kỹ thuật",XH,quan hệ công chúng,0.676,D14,marketing,0.675,D01,giáo dục tiểu học,0.645,D01
S00115,8.0,8.5,6.75,8.5,6.75,,,,9.0,"Xây dựng,Sáng tạo,Kỹ thuật",TN,kỹ thuật xây dựng,0.68,D01,kiến trúc,0.67,D01,thiết kế nội thất,0.66,D01
S00116,7.0,7.0,,,,7.75,8.75,9.0,4.6,"Sáng tạo,Giao tiếp,Máy tính",XH,kỹ thuật phần mềm,0.657,C14,marketing,0.643,C04,quan hệ công chúng,0.588,D09
S00117,4.8,6.75,,,,5.0,6.25,6.75,2.4,"Trò chơi điện tử,Tài chính,Quản lý",XH,kế toán,0.557,A09,quản lý tài nguyên và môi trường,0.503,C20,quản trị kinh doanh quốc tế,0.493,C20
S00118,7.4,8.25,,,,8.25,7.5,8.25,5.6,"Quảng cáo,Đọc sách,Văn học",XH,digital marketing,0.559,C04,marketing,0.549,C04,quan hệ công chúng,0.525,D14
S00119,5.8,4.5,,,,6.75,7.0,9.0,6.2,"Giúp đỡ người khác,Kinh doanh,Du lịch",XH,quản trị nhân lực,0.55,D01,quản trị dịch vụ du lịch và lữ hành,0.52,D84,tài chính - ngân hàng,0.517,A08
S00120,3.8,6.25,,,,5.5,6.75,7.25,3.8,"Giáo dục,Giúp đỡ người khác,Chăm sóc sức khỏe",XH,tâm lý học,0.447,D14,quản lý tài nguyên và môi trường,0.31,C20,quản trị kinh doanh quốc tế,0.3,C20
S00121,7.6,7.75,,,,7.5,8.25,7.75,8.4,"Quản lý,Giao tiếp,Phân tích dữ liệu",XH,logistics và quản lý chuỗi cung ứng,0.767,D01,quản trị kinh doanh,0.747,D01,quản trị nhân lực,0.747,D01
S00122,4.0,5.75,,,,6.25,5.25,7.25,2.6,"Lãnh đạo,Quảng cáo,Văn học",XH,quản lý tài nguyên và môi trường,0.283,C20,quản trị kinh doanh quốc tế,0.273,C20,tài chính - ngân hàng,0.263,A08
S00123,7.4,7.5,5.75,5.75,7.5,,,,4.6,"Thiên nhiên,Cơ khí,Điện tử",TN,tự động hóa,0.625,B00,kỹ thuật môi trường,0.515,B00,quản lý tài nguyên và môi trường,0.515,B00
