Ngành,Mức điểm đầu vào,Trường đại học,Điểm chuẩn,Tổ hợp,Năm,Ghi chú,Môn nhân hệ số 2
công nghệ kỹ thuật ô tô,Trung bình,Đại học Công nghiệp TP.HCM,15.0,A01,2024,,
công nghệ kỹ thuật ô tô,Trung bình,Đại học Công nghiệp TP.HCM,15.0,C01,2024,,
công nghệ kỹ thuật ô tô,Trung bình,Đại học Công nghiệp TP.HCM,15.0,D01,2024,,
công nghệ vật liệu,Trung bình,Đại học Công nghiệp TP.HCM,20.9,A00,2024,,
công nghệ vật liệu,Trung bình,Đại học Công nghiệp TP.HCM,20.9,A01,2024,,
công nghệ vật liệu,Trung bình,Đại học Công nghiệp TP.HCM,20.9,D01,2024,,
hóa học,Trung bình,Đại học Công nghiệp TP.HCM,20.5,A00,2024,,
hóa học,Trung bình,Đại học Công nghiệp TP.HCM,20.5,B00,2024,,
hóa học,Trung bình,Đại học Công nghiệp TP.HCM,20.5,D07,2024,,
hóa học,Trung bình,Đại học Công nghiệp TP.HCM,20.5,C02,2024,,
hóa học,Trung bình,Đại học Công nghiệp TP.HCM,18.0,A00,2024,CT tăng cường tiếng Anh,
hóa học,Trung bình,Đại học Công nghiệp TP.HCM,18.0,B00,2024,CT tăng cường tiếng Anh,
hóa học,Trung bình,Đại học Công nghiệp TP.HCM,18.0,D07,2024,CT tăng cường tiếng Anh,
hóa học,Trung bình,Đại học Công nghiệp TP.HCM,18.0,C02,2024,CT tăng cường tiếng Anh,
hóa học,Trung bình,Đại học Công nghiệp TP.HCM,16.0,A00,2024,,
hóa học,Trung bình,Đại học Công nghiệp TP.HCM,16.0,A01,2024,,
hóa học,Trung bình,Đại học Công nghiệp TP.HCM,16.0,D01,2024,,
hóa học,Trung bình,Đại học Công nghiệp TP.HCM,16.0,A21,2024,,
hóa học,Trung bình,Đại học Công nghiệp TP.HCM,16.0,A00,2024,,
hóa học,Trung bình,Đại học Công nghiệp TP.HCM,16.0,A01,2024,,
hóa học,Trung bình,Đại học Công nghiệp TP.HCM,16.0,D01,2024,,
hóa học,Trung bình,Đại học Công nghiệp TP.HCM,16.0,A21,2024,,
kỹ thuật môi trường,Trung bình,Đại học Công nghiệp TP.HCM,19.0,A00,2024,,
kỹ thuật môi trường,Trung bình,Đại học Công nghiệp TP.HCM,19.0,B00,2024,,
kỹ thuật môi trường,Trung bình,Đại học Công nghiệp TP.HCM,19.0,D07,2024,,
kỹ thuật môi trường,Trung bình,Đại học Công nghiệp TP.HCM,19.0,A00,2024,,
kỹ thuật môi trường,Trung bình,Đại học Công nghiệp TP.HCM,19.0,B00,2024,,
kỹ thuật môi trường,Trung bình,Đại học Công nghiệp TP.HCM,19.0,D07,2024,,
kỹ thuật môi trường,Trung bình,Đại học Công nghiệp TP.HCM,19.0,D90,2024,,
kỹ thuật môi trường,Trung bình,Đại học Công nghiệp TP.HCM,16.0,A00,2024,,
kỹ thuật môi trường,Trung bình,Đại học Công nghiệp TP.HCM,16.0,B00,2024,,
kỹ thuật môi trường,Trung bình,Đại học Công nghiệp TP.HCM,16.0,D01,2024,,
kỹ thuật môi trường,Trung bình,Đại học Công nghiệp TP.HCM,16.0,D07,2024,,
kỹ thuật môi trường,Trung bình,Đại học Công nghiệp TP.HCM,16.0,A00,2024,,
kỹ thuật môi trường,Trung bình,Đại học Công nghiệp TP.HCM,16.0,A01,2024,,
kỹ thuật môi trường,Trung bình,Đại học Công nghiệp TP.HCM,16.0,D01,2024,,
kỹ thuật môi trường,Trung bình,Đại học Công nghiệp TP.HCM,16.0,A21,2024,,
kỹ thuật xây dựng,Trung bình,Đại học Công nghiệp TP.HCM,19.0,A00,2024,,
kỹ thuật xây dựng,Trung bình,Đại học Công nghiệp TP.HCM,19.0,A01,2024,,
kỹ thuật xây dựng,Trung bình,Đại học Công nghiệp TP.HCM,19.0,C01,2024,,
kỹ thuật xây dựng,Trung bình,Đại học Công nghiệp TP.HCM,19.0,D90,2024,,
kỹ thuật xây dựng,Trung bình,Đại học Công nghiệp TP.HCM,19.0,A00,2024,,
kỹ thuật xây dựng,Trung bình,Đại học Công nghiệp TP.HCM,19.0,A01,2024,,
kỹ thuật xây dựng,Trung bình,Đại học Công nghiệp TP.HCM,19.0,C01,2024,,
kỹ thuật xây dựng,Trung bình,Đại học Công nghiệp TP.HCM,19.0,D90,2024,,
kỹ thuật xây dựng,Trung bình,Đại học Công nghiệp TP.HCM,16.0,A00,2024,,
kỹ thuật xây dựng,Trung bình,Đại học Công nghiệp TP.HCM,16.0,A01,2024,,
kỹ thuật xây dựng,Trung bình,Đại học Công nghiệp TP.HCM,16.0,D01,2024,,
kỹ thuật xây dựng,Trung bình,Đại học Công nghiệp TP.HCM,16.0,D07,2024,,
kỹ thuật xây dựng,Trung bình,Đại học Công nghiệp TP.HCM,15.0,A00,2024,,
kỹ thuật xây dựng,Trung bình,Đại học Công nghiệp TP.HCM,15.0,A02,2024,,
kỹ thuật xây dựng,Trung bình,Đại học Công nghiệp TP.HCM,15.0,C01,2024,,
kỹ thuật xây dựng,Trung bình,Đại học Công nghiệp TP.HCM,15.0,D84,2024,,
kỹ thuật xây dựng,Trung bình,Đại học Công nghiệp TP.HCM,15.0,A00,2024,,
kỹ thuật xây dựng,Trung bình,Đại học Công nghiệp TP.HCM,15.0,A01,2024,,
kỹ thuật xây dựng,Trung bình,Đại học Công nghiệp TP.HCM,15.0,C01,2024,,
kỹ thuật xây dựng,Trung bình,Đại học Công nghiệp TP.HCM,15.0,D01,2024,,
kỹ thuật điện - điện tử,Trung bình,Đại học Công nghiệp TP.HCM,20.0,A00,2024,,
kỹ thuật điện - điện tử,Trung bình,Đại học Công nghiệp TP.HCM,20.0,A01,2024,,
kỹ thuật điện - điện tử,Trung bình,Đại học Công nghiệp TP.HCM,20.0,D01,2024,,
kỹ thuật điện - điện tử,Trung bình,Đại học Công nghiệp TP.HCM,20.0,D07,2024,,
kỹ thuật điện - điện tử,Trung bình,Đại học Công nghiệp TP.HCM,16.0,A00,2024,,
kỹ thuật điện - điện tử,Trung bình,Đại học Công nghiệp TP.HCM,16.0,A01,2024,,
kỹ thuật điện - điện tử,Trung bình,Đại học Công nghiệp TP.HCM,16.0,D01,2024,,
kỹ thuật điện - điện tử,Trung bình,Đại học Công nghiệp TP.HCM,16.0,D07,2024,,
nông nghiệp,Trung bình,Đại học Công nghiệp TP.HCM,22.25,A00,2024,,
nông nghiệp,Trung bình,Đại học Công nghiệp TP.HCM,22.25,B00,2024,,
nông nghiệp,Trung bình,Đại học Công nghiệp TP.HCM,22.25,D07,2024,,
nông nghiệp,Trung bình,Đại học Công nghiệp TP.HCM,22.25,D90,2024,,
nông nghiệp,Trung bình,Đại học Công nghiệp TP.HCM,18.0,A00,2024,CT tăng cường tiếng Anh,
nông nghiệp,Trung bình,Đại học Công nghiệp TP.HCM,18.0,B00,2024,CT tăng cường tiếng Anh,
nông nghiệp,Trung bình,Đại học Công nghiệp TP.HCM,18.0,D07,2024,CT tăng cường tiếng Anh,
nông nghiệp,Trung bình,Đại học Công nghiệp TP.HCM,18.0,D90,2024,CT tăng cường tiếng Anh,
quản lý tài nguyên và môi trường,Trung bình,Đại học Công nghiệp TP.HCM,19.0,B00,2024,,
quản lý tài nguyên và môi trường,Trung bình,Đại học Công nghiệp TP.HCM,19.0,C02,2024,,
quản lý tài nguyên và môi trường,Trung bình,Đại học Công nghiệp TP.HCM,19.0,D90,2024,,
quản lý tài nguyên và môi trường,Trung bình,Đại học Công nghiệp TP.HCM,19.0,D96,2024,,
quản lý đất đai,Trung bình,Đại học Công nghiệp TP.HCM,19.0,A01,2024,,
quản lý đất đai,Trung bình,Đại học Công nghiệp TP.HCM,19.0,C01,2024,,
quản lý đất đai,Trung bình,Đại học Công nghiệp TP.HCM,19.0,D01,2024,,
quản lý đất đai,Trung bình,Đại học Công nghiệp TP.HCM,19.0,D96,2024,,
tự động hóa,Trung bình,Đại học Công nghiệp TP.HCM,26.05,A00,2024,,
tự động hóa,Trung bình,Đại học Công nghiệp TP.HCM,26.05,A01,2024,,
tự động hóa,Trung bình,Đại học Công nghiệp TP.HCM,24.5,A00,2024,,
tự động hóa,Trung bình,Đại học Công nghiệp TP.HCM,24.5,A01,2024,,
tự động hóa,Trung bình,Đại học Công nghiệp TP.HCM,24.5,C01,2024,,
tự động hóa,Trung bình,Đại học Công nghiệp TP.HCM,24.5,D90,2024,,
tự động hóa,Trung bình,Đại học Công nghiệp TP.HCM,22.0,A00,2024,CT tăng cường tiếng Anh,
tự động hóa,Trung bình,Đại học Công nghiệp TP.HCM,22.0,A01,2024,CT tăng cường tiếng Anh,
tự động hóa,Trung bình,Đại học Công nghiệp TP.HCM,22.0,C01,2024,CT tăng cường tiếng Anh,
tự động hóa,Trung bình,Đại học Công nghiệp TP.HCM,22.0,D90,2024,CT tăng cường tiếng Anh,
tự động hóa,Trung bình,Đại học Công nghiệp TP.HCM,23.0,A00,2024,,
tự động hóa,Trung bình,Đại học Công nghiệp TP.HCM,23.0,A01,2024,,
tự động hóa,Trung bình,Đại học Công nghiệp TP.HCM,23.0,D01,2024,,
tự động hóa,Trung bình,Đại học Công nghiệp TP.HCM,23.0,D07,2024,,
tự động hóa,Trung bình,Đại học Công nghiệp TP.HCM,19.0,A00,2024,,
tự động hóa,Trung bình,Đại học Công nghiệp TP.HCM,19.0,A01,2024,,
tự động hóa,Trung bình,Đại học Công nghiệp TP.HCM,19.0,D01,2024,,
tự động hóa,Trung bình,Đại học Công nghiệp TP.HCM,19.0,D07,2024,,
tự động hóa,Trung bình,Đại học Công nghiệp TP.HCM,17.0,A00,2024,,
tự động hóa,Trung bình,Đại học Công nghiệp TP.HCM,17.0,A01,2024,,
tự động hóa,Trung bình,Đại học Công nghiệp TP.HCM,17.0,D01,2024,,
tự động hóa,Trung bình,Đại học Công nghiệp TP.HCM,17.0,A21,2024,,
an toàn thông tin,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,26.77,A00,2024,,
an toàn thông tin,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,26.77,A01,2024,,
an toàn thông tin,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,26.77,D01,2024,,
an toàn thông tin,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,26.77,D07,2024,,
an toàn thông tin,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,23.0,A00,2024,,
an toàn thông tin,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,23.0,A01,2024,,
an toàn thông tin,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,23.0,D01,2024,,
an toàn thông tin,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,23.0,D90,2024,,
an toàn thông tin,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,19.3,A00,2024,,
an toàn thông tin,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,19.3,C01,2024,,
an toàn thông tin,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,19.3,C14,2024,,
an toàn thông tin,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,19.3,D01,2024,,
công nghệ thông tin,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,27.1,A00,2024,,
công nghệ thông tin,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,27.1,A01,2024,,
công nghệ thông tin,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,27.1,D01,2024,,
công nghệ thông tin,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,27.1,D07,2024,,
công nghệ thông tin,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,25.55,A00,2024,,
công nghệ thông tin,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,25.55,A01,2024,,
công nghệ thông tin,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,25.55,D01,2024,,
công nghệ thông tin,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,25.55,D06,2024,,
công nghệ thông tin,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,25.55,D07,2024,,
công nghệ thông tin,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,22.5,A00,2024,,
công nghệ thông tin,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,22.5,A01,2024,,
công nghệ thông tin,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,22.5,D01,2024,,
công nghệ thông tin,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,22.5,D90,2024,,
công nghệ thông tin,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,23.0,A00,2024,,
công nghệ thông tin,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,23.0,A01,2024,,
công nghệ thông tin,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,23.0,D01,2024,,
công nghệ thông tin,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,23.0,D90,2024,,
công nghệ thông tin,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,22.5,A00,2024,,
công nghệ thông tin,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,22.5,A01,2024,,
công nghệ thông tin,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,22.5,D01,2024,,
công nghệ thông tin,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,22.5,D90,2024,,
công nghệ thông tin,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,22.0,A00,2024,,
công nghệ thông tin,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,22.0,A01,2024,,
công nghệ thông tin,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,22.0,D01,2024,,
công nghệ thông tin,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,22.0,D90,2024,,
công nghệ thông tin,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,20.9,A00,2024,,
công nghệ thông tin,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,20.9,C01,2024,,
công nghệ thông tin,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,20.9,C14,2024,,
công nghệ thông tin,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,20.9,D01,2024,,
công nghệ thông tin,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,20.7,A00,2024,,
công nghệ thông tin,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,20.7,C01,2024,,
công nghệ thông tin,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,20.7,C14,2024,,
công nghệ thông tin,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,20.7,D01,2024,,
công nghệ thông tin,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,18.7,A00,2024,,
công nghệ thông tin,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,18.7,C01,2024,,
công nghệ thông tin,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,18.7,C14,2024,,
công nghệ thông tin,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,18.7,D01,2024,,
khoa học dữ liệu và trí tuệ nhân tạo,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,27.5,A00,2024,,
khoa học dữ liệu và trí tuệ nhân tạo,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,27.5,A01,2024,,
khoa học dữ liệu và trí tuệ nhân tạo,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,27.5,D01,2024,,
khoa học dữ liệu và trí tuệ nhân tạo,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,27.5,D07,2024,,
khoa học dữ liệu và trí tuệ nhân tạo,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,28.3,A00,2024,,
khoa học dữ liệu và trí tuệ nhân tạo,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,28.3,A01,2024,,
khoa học dữ liệu và trí tuệ nhân tạo,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,28.3,D01,2024,,
khoa học dữ liệu và trí tuệ nhân tạo,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,28.3,D07,2024,,
khoa học máy tính,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,27.3,A00,2024,,
khoa học máy tính,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,27.3,A01,2024,,
khoa học máy tính,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,27.3,D01,2024,,
khoa học máy tính,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,27.3,D07,2024,,
khoa học máy tính,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,22.1,A00,2024,,
khoa học máy tính,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,22.1,C01,2024,,
khoa học máy tính,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,22.1,C14,2024,,
khoa học máy tính,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,22.1,D01,2024,,
kỹ thuật phần mềm,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,26.85,A00,2024,,
kỹ thuật phần mềm,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,26.85,A01,2024,,
kỹ thuật phần mềm,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,26.85,D01,2024,,
kỹ thuật phần mềm,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,26.85,D07,2024,,
kỹ thuật phần mềm,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,21.1,A00,2024,,
kỹ thuật phần mềm,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,21.1,C01,2024,,
kỹ thuật phần mềm,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,21.1,C14,2024,,
kỹ thuật phần mềm,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,21.1,D01,2024,,
kỹ thuật phần mềm,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,20.8,A00,2024,,
kỹ thuật phần mềm,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,20.8,C01,2024,,
kỹ thuật phần mềm,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,20.8,C14,2024,,
kỹ thuật phần mềm,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,20.8,D01,2024,,
trí tuệ nhân tạo,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,23.0,A00,2024,,
trí tuệ nhân tạo,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,23.0,A01,2024,,
trí tuệ nhân tạo,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,23.0,D01,2024,,
trí tuệ nhân tạo,Trung bình,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,23.0,D90,2024,,
kỹ thuật xây dựng,Trung bình,Đại học Giao thông Vận tải TP.HCM,23.19,A00,2024,,
kỹ thuật xây dựng,Trung bình,Đại học Giao thông Vận tải TP.HCM,23.19,A01,2024,,
kỹ thuật xây dựng,Trung bình,Đại học Giao thông Vận tải TP.HCM,23.19,D01,2024,,
kỹ thuật xây dựng,Trung bình,Đại học Giao thông Vận tải TP.HCM,23.19,D07,2024,,
kỹ thuật xây dựng,Trung bình,Đại học Giao thông Vận tải TP.HCM,21.4,A00,2024,,
kỹ thuật xây dựng,Trung bình,Đại học Giao thông Vận tải TP.HCM,21.4,A01,2024,,
kỹ thuật xây dựng,Trung bình,Đại học Giao thông Vận tải TP.HCM,21.4,D01,2024,,
kỹ thuật xây dựng,Trung bình,Đại học Giao thông Vận tải TP.HCM,21.4,D07,2024,,
kỹ thuật xây dựng,Trung bình,Đại học Giao thông Vận tải TP.HCM,21.15,A00,2024,,
kỹ thuật xây dựng,Trung bình,Đại học Giao thông Vận tải TP.HCM,21.15,A01,2024,,
kỹ thuật xây dựng,Trung bình,Đại học Giao thông Vận tải TP.HCM,21.15,D01,2024,,
