SchoolName,SchoolID,Type,MajorID,Major,SubjectGroup,Benchmark_2024,Note
Khoa Luật (ĐHQG Hà Nội),QHL,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,7380109,Luật Thương mại quốc tế,D82,26.5,
Khoa Luật (ĐHQG Hà Nội),QHL,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,7380110,Luật Kinh doanh,D78,25.8,
Khoa Luật (ĐHQG Hà Nội),QHL,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,7380110,Luật Kinh doanh,D82,25.8,
Khoa Luật (ĐHQG Hà Nội),QHL,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,7380110,Luật Kinh doanh,A00,25.8,
Khoa Luật (ĐHQG Hà Nội),QHL,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,7380110,Luật Kinh doanh,A01,25.8,
Khoa Luật (ĐHQG Hà Nội),QHL,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,7380110,Luật Kinh doanh,D01,25.8,
Khoa Luật (ĐHQG Hà Nội),QHL,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,7380110,Luật Kinh doanh,D03,25.8,
Khoa Luật (ĐHQG Hà Nội),QHL,Điểm chuẩn theo phương thức Điểm ĐGNL HN năm 2024,7380101,Luật,,18.0,
Khoa Luật (ĐHQG Hà Nội),QHL,Điểm chuẩn theo phương thức Điểm ĐGNL HN năm 2024,7380101CLC,Luật chất lượng cao,,18.0,6 HK môn TA tối thiểu 7.0 hoặc Sử dụng CCTAQT tương đương
Khoa Luật (ĐHQG Hà Nội),QHL,Điểm chuẩn theo phương thức Điểm ĐGNL HN năm 2024,7380109,Luật thương mại quốc tế,,18.0,
Khoa Luật (ĐHQG Hà Nội),QHL,Điểm chuẩn theo phương thức Điểm ĐGNL HN năm 2024,7380110,Luật kinh doanh,,18.0,
Khoa Luật (ĐHQG Hà Nội),QHL,Điểm chuẩn theo phương thức Điểm ĐGNL HCM năm 2024,7380101,Luật,,19.7,
Khoa Luật (ĐHQG Hà Nội),QHL,Điểm chuẩn theo phương thức Điểm ĐGNL HCM năm 2024,7380101CLC,Luật chất lượng cao,,19.7,6 HK môn TA tối thiểu 7.0 hoặc Sử dụng CCTAQT tương đương
Khoa Luật (ĐHQG Hà Nội),QHL,Điểm chuẩn theo phương thức Điểm ĐGNL HCM năm 2024,7380109,Luật thương mại quốc tế,,19.7,
Khoa Luật (ĐHQG Hà Nội),QHL,Điểm chuẩn theo phương thức Điểm ĐGNL HCM năm 2024,7380110,Luật kinh doanh,,19.7,
Khoa Luật (ĐHQG Hà Nội),QHL,Điểm chuẩn theo phương thức Chứng chỉ quốc tế năm 2024,7380101,Luật,,21.38,SAT
Khoa Luật (ĐHQG Hà Nội),QHL,Điểm chuẩn theo phương thức Chứng chỉ quốc tế năm 2024,7380101CLC,Luật chất lượng cao,,21.75,"SAT, 6 HK môn TA tối thiểu 7.0 hoặc Sử dụng CCTAQT tương đương"
Khoa Luật (ĐHQG Hà Nội),QHL,Điểm chuẩn theo phương thức Chứng chỉ quốc tế năm 2024,7380109,Luật thương mại quốc tế,,21.75,SAT
Khoa Luật (ĐHQG Hà Nội),QHL,Điểm chuẩn theo phương thức Chứng chỉ quốc tế năm 2024,7380110,Luật kinh doanh,,22.63,SAT
Khoa Luật (ĐHQG Hà Nội),QHL,Điểm chuẩn theo phương thức Chứng chỉ quốc tế năm 2024,,,,,
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,QHQ01,Kinh doanh quốc tế,A00; A01; D01; D03; D06; D96; D97; DD0,23.5,
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,QHQ02,"Kế toán, Phân tích và Kiểm toán",A00; A01; D01; D03; D06; D96; D97; DD0,22.75,
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,QHQ03,Hệ thống thông tin quản lý,A00; A01; D01; D03; D06; D96; D97; DD0,22.35,
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,QHQ04,Tin học và Kỹ thuật máy tính,A00; A01; D01; D03; D06; D07; D23; D24,21.0,
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,QHQ05,Phân tích dữ liệu kinh doanh,A00; A01; D01; D03; D06; D07; D23; D24,24.05,
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,QHQ06,"Marketing (song bằng VNU-HELP, Malaysia)",A00; A01; D01; D03; D06; D96; D97; DD0,21.5,
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,QHQ08,Tự động hóa và Tin học (Kỹ sư),A00; A01; D01; D03; D06; D07; D23; D24,21.5,
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,QHQ09,Ngôn ngữ Anh,A01; D01; D78; D90,25.15,
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,QHQ10,Công nghệ thông tin ứng dụng,A00; A01; D01; D03; D06; D07; D23; D24,22.75,
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,QHQ11,Công nghệ tài chính và kinh doanh số,A00; A01; D01; D03; D06; D07; D23; D24,23.3,
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,QHQ12,Kỹ thuật hệ thống công nghiệp và Logistics,A00; A01; D01; D03; D06; D07; D23; D24,23.35,
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Điểm ĐGNL HN năm 2024,QHQ01,Kinh doanh quốc tế,,80.0,
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Điểm ĐGNL HN năm 2024,QHQ02,"Kế toán, Phân tích và Kiểm toán",,80.0,
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Điểm ĐGNL HN năm 2024,QHQ03,Hệ thống thông tin quản lý,,80.0,
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Điểm ĐGNL HN năm 2024,QHQ04,Tin học và Kỹ thuật máy tính,,80.0,
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Điểm ĐGNL HN năm 2024,QHQ05,Phân tích dữ liệu kinh doanh,,80.0,
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Điểm ĐGNL HN năm 2024,QHQ06,Marketing,,83.0,
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Điểm ĐGNL HN năm 2024,QHQ08,Tự động hóa và Tin học,,81.0,
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Điểm ĐGNL HN năm 2024,QHQ09,Ngôn ngữ Anh,,84.0,
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Điểm ĐGNL HN năm 2024,QHQ10,Công nghệ thông tin ứng dụng,,82.0,
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Điểm ĐGNL HN năm 2024,QHQ11,Công nghệ tài chính và kinh doanh số,,81.0,
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Điểm ĐGNL HN năm 2024,QHQ12,Kỹ thuật hệ thống công nghiệp và Logistics,,80.0,
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Điểm ĐGNL HCM năm 2024,QHQ01,Kinh doanh quốc tế,,775.0,
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Điểm ĐGNL HCM năm 2024,QHQ03,Hệ thống thông tin quản lý,,764.0,
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Điểm ĐGNL HCM năm 2024,QHQ04,Tin học và Kỹ thuật máy tính,,876.0,
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Điểm ĐGNL HCM năm 2024,QHQ05,Phân tích dữ liệu kinh doanh,,893.0,
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Điểm xét tuyển kết hợp năm 2024,QHQ01,Kinh doanh quốc tế,,19.3,CCTAQT kết hợp kết quả thi ĐGNL của ĐHQGHN
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Điểm xét tuyển kết hợp năm 2024,QHQ01,Kinh doanh quốc tế,,24.5,CCTAQT Kết hợp học bạ THPT
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Điểm xét tuyển kết hợp năm 2024,QHQ02,"Kế toán, Phân tích và Kiểm toán",,19.67,CCTAQT kết hợp kết quả thi ĐGNL của ĐHQGHN
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Điểm xét tuyển kết hợp năm 2024,QHQ02,"Kế toán, Phân tích và Kiểm toán",,24.5,CCTAQT Kết hợp học bạ THPT
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Điểm xét tuyển kết hợp năm 2024,QHQ03,Hệ thống thông tin quản lý,,19.43,CCTAQT kết hợp kết quả thi ĐGNL của ĐHQGHN
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Điểm xét tuyển kết hợp năm 2024,QHQ03,Hệ thống thông tin quản lý,,24.8,CCTAQT Kết hợp học bạ THPT
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Điểm xét tuyển kết hợp năm 2024,QHQ04,Tin học và Kỹ thuật máy tính,,25.5,CCTAQT Kết hợp học bạ THPT
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Điểm xét tuyển kết hợp năm 2024,QHQ04,Tin học và Kỹ thuật máy tính,,20.05,CCTAQT kết hợp kết quả thi ĐGNL của ĐHQGHN
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Điểm xét tuyển kết hợp năm 2024,QHQ05,Phân tích dữ liệu kinh doanh,,25.1,CCTAQT Kết hợp học bạ THPT
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Điểm xét tuyển kết hợp năm 2024,QHQ05,Phân tích dữ liệu kinh doanh,,20.18,CCTAQT kết hợp kết quả thi ĐGNL của ĐHQGHN
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Điểm xét tuyển kết hợp năm 2024,QHQ06,Marketing,,24.5,CCTAQT Kết hợp học bạ THPT
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Điểm xét tuyển kết hợp năm 2024,QHQ06,Marketing,,19.93,CCTAQT kết hợp kết quả thi ĐGNL của ĐHQGHN
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Điểm xét tuyển kết hợp năm 2024,QHQ08,Tự động hóa và Tin học,,25.0,CCTAQT Kết hợp học bạ THPT
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Điểm xét tuyển kết hợp năm 2024,QHQ08,Tự động hóa và Tin học,,20.5,CCTAQT kết hợp kết quả thi ĐGNL của ĐHQGHN
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Điểm xét tuyển kết hợp năm 2024,QHQ09,Ngôn ngữ Anh,,20.2,CCTAQT kết hợp kết quả thi ĐGNL của ĐHQGHN
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Điểm xét tuyển kết hợp năm 2024,QHQ09,Ngôn ngữ Anh,,25.3,CCTAQT Kết hợp học bạ THPT
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Điểm xét tuyển kết hợp năm 2024,QHQ10,Công nghệ thông tin ứng dụng,,25.3,CCTAQT Kết hợp học bạ THPT
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Điểm xét tuyển kết hợp năm 2024,QHQ10,Công nghệ thông tin ứng dụng,,20.6,CCTAQT kết hợp kết quả thi ĐGNL của ĐHQGHN
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Điểm xét tuyển kết hợp năm 2024,QHQ11,Công nghệ tài chính và kinh doanh số,,24.8,CCTAQT Kết hợp học bạ THPT
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Điểm xét tuyển kết hợp năm 2024,QHQ11,Công nghệ tài chính và kinh doanh số,,19.43,CCTAQT kết hợp kết quả thi ĐGNL của ĐHQGHN
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Điểm xét tuyển kết hợp năm 2024,QHQ12,Kỹ thuật hệ thống công nghiệp và Logistics,,24.6,CCTAQT Kết hợp học bạ THPT
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Điểm xét tuyển kết hợp năm 2024,QHQ12,Kỹ thuật hệ thống công nghiệp và Logistics,,20.47,CCTAQT kết hợp kết quả thi ĐGNL của ĐHQGHN
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Chứng chỉ quốc tế năm 2024,QHQ01,Kinh doanh quốc tế,,1100.0,Xét CCQT SAT
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Chứng chỉ quốc tế năm 2024,QHQ02,"Kế toán, Phân tích và Kiểm toán",,1120.0,Xét CCQT SAT
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Chứng chỉ quốc tế năm 2024,QHQ03,Hệ thống thông tin quản lý,,1340.0,Xét CCQT SAT
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Chứng chỉ quốc tế năm 2024,QHQ04,Tin học và Kỹ thuật máy tính,,1260.0,Xét CCQT SAT
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Chứng chỉ quốc tế năm 2024,QHQ05,Phân tích dữ liệu kinh doanh,,1160.0,Xét CCQT SAT
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Chứng chỉ quốc tế năm 2024,QHQ06,Marketing,,1260.0,Xét CCQT SAT
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Chứng chỉ quốc tế năm 2024,QHQ08,Tự động hóa và Tin học,,1130.0,Xét CCQT SAT
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Chứng chỉ quốc tế năm 2024,QHQ09,Ngôn ngữ Anh,,1300.0,Xét CCQT SAT
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Chứng chỉ quốc tế năm 2024,QHQ11,Công nghệ tài chính và kinh doanh số,,1270.0,Xét CCQT SAT
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Chứng chỉ quốc tế năm 2024,QHQ12,Kỹ thuật hệ thống công nghiệp và Logistics,,1130.0,Xét CCQT SAT
Khoa Quốc tế (ĐHQG Hà Nội),QHQ,Điểm chuẩn theo phương thức Chứng chỉ quốc tế năm 2024,,,,,
Trường ĐẠI HỌC Y Dược (ĐHQG Hà Nội),QHY,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,7720101,Y khoa,B00,27.15,
Trường ĐẠI HỌC Y Dược (ĐHQG Hà Nội),QHY,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,7720201,Dược học,A00,25.1,
Trường ĐẠI HỌC Y Dược (ĐHQG Hà Nội),QHY,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,7720301,Điều dưỡng,B00,24.49,
Trường ĐẠI HỌC Y Dược (ĐHQG Hà Nội),QHY,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,7720501,Răng Hàm Mặt,B00,27.0,
Trường ĐẠI HỌC Y Dược (ĐHQG Hà Nội),QHY,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,7720601,Kĩ thuật Xét nghiệm y học,B00,24.83,
Trường ĐẠI HỌC Y Dược (ĐHQG Hà Nội),QHY,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,7720602,Kĩ thuật Hình ảnh y học,B00,24.49,
Trường ĐẠI HỌC Y Dược (ĐHQG Hà Nội),QHY,Điểm chuẩn theo phương thức Điểm ĐGNL HN năm 2024,7720101,Y khoa,,20.6,
Trường ĐẠI HỌC Y Dược (ĐHQG Hà Nội),QHY,Điểm chuẩn theo phương thức Điểm ĐGNL HN năm 2024,7720201,Dược học,,20.0,
Trường ĐẠI HỌC Y Dược (ĐHQG Hà Nội),QHY,Điểm chuẩn theo phương thức Điểm ĐGNL HN năm 2024,7720301,Điều dưỡng,,16.65,
Trường ĐẠI HỌC Y Dược (ĐHQG Hà Nội),QHY,Điểm chuẩn theo phương thức Điểm ĐGNL HN năm 2024,7720501,Răng- Hàm- Mặt,,20.0,
Trường ĐẠI HỌC Y Dược (ĐHQG Hà Nội),QHY,Điểm chuẩn theo phương thức Điểm ĐGNL HN năm 2024,7720601,Kĩ thuật xét nghiệm y học,,18.65,
Trường ĐẠI HỌC Y Dược (ĐHQG Hà Nội),QHY,Điểm chuẩn theo phương thức Điểm ĐGNL HN năm 2024,7720602,Kĩ thuật hình ảnh y học,,17.0,
Trường ĐẠI HỌC Y Dược (ĐHQG Hà Nội),QHY,Điểm chuẩn theo phương thức Điểm ĐGNL HN năm 2024,,,,,
Trường ĐẠI HỌC Công nghệ (ĐHQG Hà Nội),QHI,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,CN1,Công nghệ thông tin,A00; A01; D01,27.8,
Trường ĐẠI HỌC Công nghệ (ĐHQG Hà Nội),QHI,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,CN10,Công nghệ nông nghiệp,A00; A01; B00,22.5,
Trường ĐẠI HỌC Công nghệ (ĐHQG Hà Nội),QHI,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,CN11,Kỹ thuật điều khiển và tự động hoá,A00; A01; D01,27.05,
Trường ĐẠI HỌC Công nghệ (ĐHQG Hà Nội),QHI,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,CN12,Trí tuệ nhân tạo,A00; A01; D01,27.12,
Trường ĐẠI HỌC Công nghệ (ĐHQG Hà Nội),QHI,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,CN13,Kỹ thuật năng lượng,A00; A01; D01,24.59,
Trường ĐẠI HỌC Công nghệ (ĐHQG Hà Nội),QHI,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,CN14,Hệ thống thông tin,A00; A01; D01,26.87,
Trường ĐẠI HỌC Công nghệ (ĐHQG Hà Nội),QHI,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,CN15,Mạng máy tính và truyền thông dữ liệu,A00; A01; D01,26.92,
Trường ĐẠI HỌC Công nghệ (ĐHQG Hà Nội),QHI,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,CN17,Kỹ thuật Robot,A00; A01; D01,25.99,
Trường ĐẠI HỌC Công nghệ (ĐHQG Hà Nội),QHI,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,CN18,Thiết kế công nghiệp và đồ họa,A00; A01; D01,24.64,
Trường ĐẠI HỌC Công nghệ (ĐHQG Hà Nội),QHI,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,CN2,Kỹ thuật máy tính,A00; A01; D01,26.97,
Trường ĐẠI HỌC Công nghệ (ĐHQG Hà Nội),QHI,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,CN3,Vật lý kỹ thuật,A00; A01; D01,25.24,
Trường ĐẠI HỌC Công nghệ (ĐHQG Hà Nội),QHI,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,CN4,Cơ kỹ thuật,A00; A01; D01,26.03,
Trường ĐẠI HỌC Công nghệ (ĐHQG Hà Nội),QHI,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,CN5,Công nghệ kỹ thuật xây dựng,A00; A01; D01,23.91,
Trường ĐẠI HỌC Công nghệ (ĐHQG Hà Nội),QHI,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,CN6,Công nghệ kỹ thuật cơ – điện tử,A00; A01; D01,26.27,
Trường ĐẠI HỌC Công nghệ (ĐHQG Hà Nội),QHI,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,CN7,Công nghệ hàng không vũ trụ,A00; A01; D01,24.61,
Trường ĐẠI HỌC Công nghệ (ĐHQG Hà Nội),QHI,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,CN8,Khoa học máy tính,A00; A01; D01,27.58,
Trường ĐẠI HỌC Công nghệ (ĐHQG Hà Nội),QHI,Điểm chuẩn theo phương thức Điểm thi THPT năm 2024,CN9,Công nghệ kỹ thuật điện tử – viễn thông,A00; A01; D01,26.3,
Trường ĐẠI HỌC Công nghệ (ĐHQG Hà Nội),QHI,Điểm chuẩn theo phương thức Điểm ĐGNL HN năm 2024,CN1,Công nghệ thông tin,,23.5,
Trường ĐẠI HỌC Công nghệ (ĐHQG Hà Nội),QHI,Điểm chuẩn theo phương thức Điểm ĐGNL HN năm 2024,CN10,Công nghệ nông nghiệp,,17.0,
Trường ĐẠI HỌC Công nghệ (ĐHQG Hà Nội),QHI,Điểm chuẩn theo phương thức Điểm ĐGNL HN năm 2024,CN11,Kỹ thuật điều khiển và tự động hóa,,22.0,
Trường ĐẠI HỌC Công nghệ (ĐHQG Hà Nội),QHI,Điểm chuẩn theo phương thức Điểm ĐGNL HN năm 2024,CN12,Trí tuệ nhân tạo,,22.0,
Trường ĐẠI HỌC Công nghệ (ĐHQG Hà Nội),QHI,Điểm chuẩn theo phương thức Điểm ĐGNL HN năm 2024,CN13,Kỹ thuật năng lượng,,17.0,
Trường ĐẠI HỌC Công nghệ (ĐHQG Hà Nội),QHI,Điểm chuẩn theo phương thức Điểm ĐGNL HN năm 2024,CN14,Hệ thống thông tin,,20.0,
Trường ĐẠI HỌC Công nghệ (ĐHQG Hà Nội),QHI,Điểm chuẩn theo phương thức Điểm ĐGNL HN năm 2024,CN15,Mạng máy tính & truyền thông dữ liệu,,20.0,
Trường ĐẠI HỌC Công nghệ (ĐHQG Hà Nội),QHI,Điểm chuẩn theo phương thức Điểm ĐGNL HN năm 2024,CN17,Kỹ thuật Robot,,19.0,
Trường ĐẠI HỌC Công nghệ (ĐHQG Hà Nội),QHI,Điểm chuẩn theo phương thức Điểm ĐGNL HN năm 2024,CN18,Thiết kế công nghiệp và đồ họa,,18.0,
Trường ĐẠI HỌC Công nghệ (ĐHQG Hà Nội),QHI,Điểm chuẩn theo phương thức Điểm ĐGNL HN năm 2024,CN2,Kỹ thuật máy tính,,20.0,
Trường ĐẠI HỌC Công nghệ (ĐHQG Hà Nội),QHI,Điểm chuẩn theo phương thức Điểm ĐGNL HN năm 2024,CN3,Vật lý kỹ thuật,,17.0,
Trường ĐẠI HỌC Công nghệ (ĐHQG Hà Nội),QHI,Điểm chuẩn theo phương thức Điểm ĐGNL HN năm 2024,CN4,Cơ kỹ thuật,,17.0,
Trường ĐẠI HỌC Công nghệ (ĐHQG Hà Nội),QHI,Điểm chuẩn theo phương thức Điểm ĐGNL HN năm 2024,CN5,Công nghệ kỹ thuật xây dựng,,17.0,
Trường ĐẠI HỌC Công nghệ (ĐHQG Hà Nội),QHI,Điểm chuẩn theo phương thức Điểm ĐGNL HN năm 2024,CN6,Công nghệ kỹ thuật cơ điện tử,,20.0,
Trường ĐẠI HỌC Công nghệ (ĐHQG Hà Nội),QHI,Điểm chuẩn theo phương thức Điểm ĐGNL HN năm 2024,CN7,Công nghệ Hàng không vũ trụ,,17.0,
Trường ĐẠI HỌC Công nghệ (ĐHQG Hà Nội),QHI,Điểm chuẩn theo phương thức Điểm ĐGNL HN năm 2024,CN8,Khoa học máy tính,,22.0,
Trường ĐẠI HỌC Công nghệ (ĐHQG Hà Nội),QHI,Điểm chuẩn theo phương thức Điểm ĐGNL HN năm 2024,CN9,Công nghệ KT điện tử – viễn thông,,20.0,
Trường ĐẠI HỌC Công nghệ (ĐHQG Hà Nội),QHI,Điểm chuẩn theo phương thức Chứng chỉ quốc tế năm 2024,CN1,Công nghệ thông tin,,28.0,CCQT SAT
Trường ĐẠI HỌC Công nghệ (ĐHQG Hà Nội),QHI,Điểm chuẩn theo phương thức Chứng chỉ quốc tế năm 2024,CN10,Công nghệ nông nghiệp,,23.8,CCQT SAT
Trường ĐẠI HỌC Công nghệ (ĐHQG Hà Nội),QHI,Điểm chuẩn theo phương thức Chứng chỉ quốc tế năm 2024,CN11,Kỹ thuật điều khiển và tự động hóa,,27.0,CCQT SAT
Trường ĐẠI HỌC Công nghệ (ĐHQG Hà Nội),QHI,Điểm chuẩn theo phương thức Chứng chỉ quốc tế năm 2024,CN12,Trí tuệ nhân tạo,,27.75,CCQT SAT
