major_name,category,interests,market_trend
"Quản trị nhân lực","Nhân sự - Hành chính","Quản lý,Giao tiếp,Kinh doanh,Phân tích dữ liệu,Giúp đỡ người khác",0.83
"Tâm lý học","Tâm lý","Giúp đỡ người khác,Phân tích dữ liệu,Nghiên cứu,Giao tiếp,Khoa học",0.81
"Báo chí","Báo chí - Marketing - Quảng cáo - PR","Truyền thông,Giao tiếp,Văn học,Đọc sách,Sáng tạo",0.76
"Nghệ thuật","Mỹ thuật - Âm nhạc - Nghệ thuật","Sáng tạo,Nghệ thuật,Thiết kế,Văn hóa,Truyền thông",0.75
"Quan hệ quốc tế","Ngoại giao - Ngoại ngữ","Chính trị,Ngoại ngữ,Văn hóa,Giao tiếp,Nghiên cứu",0.80
"Vật lý học","Khoa học tự nhiên khác","Vật lý,Nghiên cứu,Khoa học,Toán học,Phân tích dữ liệu",0.77
"Kinh tế học","Kinh tế - Quản trị kinh doanh - Thương Mại","Kinh tế,Phân tích dữ liệu,Thống kê,Nghiên cứu,Chính trị",0.84
"Xã hội học","Xã hội - Nhân văn","Nghiên cứu,Giúp đỡ người khác,Phân tích dữ liệu,Thống kê,Giao tiếp",0.73
"Công nghệ vật liệu","Công nghệ - Kỹ thuật","Nghiên cứu,Kỹ thuật,Khoa học,Công nghệ,Thiết kế",0.78
"Quản lý giáo dục","Sư phạm - Giáo dục","Giáo dục,Quản lý,Lãnh đạo,Giao tiếp,Nghiên cứu",0.78
"Răng - Hàm - Mặt","Y - Dược","Y học,Chăm sóc sức khỏe,Thiết kế,Nghiên cứu,Sáng tạo",0.88
"Kỹ thuật môi trường","Tài nguyên - Môi trường","Môi trường,Kỹ thuật,Thiên nhiên,Nghiên cứu,Khoa học",0.81
"Khoa học máy tính","Công nghệ thông tin - Tin học","Toán học,Lập trình,Máy tính,Công nghệ,Nghiên cứu",0.94
"Thiết kế nội thất","Xây dựng - Kiến trúc - Giao thông","Thiết kế,Nghệ thuật,Sáng tạo,Xây dựng,Mỹ thuật",0.83
"Quản lý đất đai","Tài nguyên - Môi trường","Thiên nhiên,Môi trường,Quản lý,Nghiên cứu,Xây dựng",0.77
"Ngôn ngữ Pháp","Ngoại giao - Ngoại ngữ","Ngoại ngữ,Văn hóa,Giao tiếp,Du lịch,Văn học",0.74
"Quản lý bệnh viện","Y - Dược","Y học,Quản lý,Chăm sóc sức khỏe,Lãnh đạo,Giao tiếp",0.84
"Công nghệ sau thu hoạch","Thủy sản - Lâm Nghiệp - Nông nghiệp","Nông nghiệp,Công nghệ,Ẩm thực,Nghiên cứu,Khoa học",0.78
"Sư phạm Vật lý","Sư phạm - Giáo dục","Vật lý,Dạy học,Giáo dục,Khoa học,Nghiên cứu",0.73
"Sư phạm Hóa học","Sư phạm - Giáo dục","Hóa học,Dạy học,Giáo dục,Khoa học,Nghiên cứu",0.72
"Bảo hiểm","Tài chính - Ngân hàng - Bảo hiểm","Tài chính,Thống kê,Kinh doanh,Phân tích dữ liệu,Dịch vụ khách hàng",0.79
"Khoa học dữ liệu","Công nghệ thông tin - Tin học","Phân tích dữ liệu,Thống kê,Máy học,Nghiên cứu,Toán học",0.96
"Âm nhạc","Mỹ thuật - Âm nhạc - Nghệ thuật","Nghệ thuật,Sáng tạo,Văn hóa,Thể thao,Giải trí",0.76
"Nhân học","Xã hội - Nhân văn","Văn hóa,Nghiên cứu,Xã hội,Giúp đỡ người khác,Giao tiếp",0.71
"Kinh doanh quốc tế","Ngoại thương - Xuất nhập khẩu - Kinh Tế quốc tế","Kinh doanh,Ngoại ngữ,Quản lý,Giao tiếp,Văn hóa",0.87
"Robot và Trí tuệ nhân tạo","Công nghệ thông tin - Tin học","Công nghệ,Tự động hóa,Lập trình,Kỹ thuật,Phân tích dữ liệu",0.95 
